Sexo	Comunidades y Ciudades Autónomas	Edad	Periodo	Total
Ambos sexos	Total Nacional	Total	2021T4	58,65
Ambos sexos	Total Nacional	Total	2021T3	59,14
Ambos sexos	Total Nacional	Total	2021T2	58,58
Ambos sexos	Total Nacional	Total	2021T1	57,69
Ambos sexos	Total Nacional	Total	2020T4	58,19
Ambos sexos	Total Nacional	Total	2020T3	57,83
Ambos sexos	Total Nacional	Total	2020T2	55,54
Ambos sexos	Total Nacional	Total	2020T1	58,18
Ambos sexos	Total Nacional	Total	2019T4	58,74
Ambos sexos	Total Nacional	Total	2019T3	58,72
Ambos sexos	Total Nacional	Total	2019T2	58,74
Ambos sexos	Total Nacional	Total	2019T1	58,35
Ambos sexos	Total Nacional	Total	2018T4	58,61
Ambos sexos	Total Nacional	Total	2018T3	58,73
Ambos sexos	Total Nacional	Total	2018T2	58,80
Ambos sexos	Total Nacional	Total	2018T1	58,46
Ambos sexos	Total Nacional	Total	2017T4	58,80
Ambos sexos	Total Nacional	Total	2017T3	58,92
Ambos sexos	Total Nacional	Total	2017T2	58,84
Ambos sexos	Total Nacional	Total	2017T1	58,78
Ambos sexos	Total Nacional	Total	2016T4	58,95
Ambos sexos	Total Nacional	Total	2016T3	59,28
Ambos sexos	Total Nacional	Total	2016T2	59,41
Ambos sexos	Total Nacional	Total	2016T1	59,29
Ambos sexos	Total Nacional	Total	2015T4	59,43
Ambos sexos	Total Nacional	Total	2015T3	59,50
Ambos sexos	Total Nacional	Total	2015T2	59,79
Ambos sexos	Total Nacional	Total	2015T1	59,45
Ambos sexos	Total Nacional	Total	2014T4	59,77
Ambos sexos	Total Nacional	Total	2014T3	59,53
Ambos sexos	Total Nacional	Total	2014T2	59,63
Ambos sexos	Total Nacional	Total	2014T1	59,46
Ambos sexos	Total Nacional	Total	2013T4	59,86
Ambos sexos	Total Nacional	Total	2013T3	60,04
Ambos sexos	Total Nacional	Total	2013T2	60,00
Ambos sexos	Total Nacional	Total	2013T1	60,18
Ambos sexos	Total Nacional	Total	2012T4	60,23
Ambos sexos	Total Nacional	Total	2012T3	60,55
Ambos sexos	Total Nacional	Total	2012T2	60,50
Ambos sexos	Total Nacional	Total	2012T1	60,31
Ambos sexos	Total Nacional	Total	2011T4	60,29
Ambos sexos	Total Nacional	Total	2011T3	60,44
Ambos sexos	Total Nacional	Total	2011T2	60,44
Ambos sexos	Total Nacional	Total	2011T1	60,16
Ambos sexos	Total Nacional	Total	2010T4	60,25
Ambos sexos	Total Nacional	Total	2010T3	60,37
Ambos sexos	Total Nacional	Total	2010T2	60,41
Ambos sexos	Total Nacional	Total	2010T1	60,09
Ambos sexos	Total Nacional	Total	2009T4	59,99
Ambos sexos	Total Nacional	Total	2009T3	60,05
Ambos sexos	Total Nacional	Total	2009T2	60,30
Ambos sexos	Total Nacional	Total	2009T1	60,39
Ambos sexos	Total Nacional	Total	2008T4	60,35
Ambos sexos	Total Nacional	Total	2008T3	60,23
Ambos sexos	Total Nacional	Total	2008T2	60,07
Ambos sexos	Total Nacional	Total	2008T1	59,67
Ambos sexos	Total Nacional	Total	2007T4	59,47
Ambos sexos	Total Nacional	Total	2007T3	59,50
Ambos sexos	Total Nacional	Total	2007T2	59,23
Ambos sexos	Total Nacional	Total	2007T1	58,90
Ambos sexos	Total Nacional	Total	2006T4	58,88
Ambos sexos	Total Nacional	Total	2006T3	58,74
Ambos sexos	Total Nacional	Total	2006T2	58,63
Ambos sexos	Total Nacional	Total	2006T1	58,30
Ambos sexos	Total Nacional	Total	2005T4	58,08
Ambos sexos	Total Nacional	Total	2005T3	57,86
Ambos sexos	Total Nacional	Total	2005T2	57,86
Ambos sexos	Total Nacional	Total	2005T1	57,38
Ambos sexos	Total Nacional	Total	2004T4	57,12
Ambos sexos	Total Nacional	Total	2004T3	56,93
Ambos sexos	Total Nacional	Total	2004T2	56,55
Ambos sexos	Total Nacional	Total	2004T1	56,24
Ambos sexos	Total Nacional	Total	2003T4	56,25
Ambos sexos	Total Nacional	Total	2003T3	56,15
Ambos sexos	Total Nacional	Total	2003T2	55,65
Ambos sexos	Total Nacional	Total	2003T1	55,28
Ambos sexos	Total Nacional	Total	2002T4	54,95
Ambos sexos	Total Nacional	Total	2002T3	54,92
Ambos sexos	Total Nacional	Total	2002T2	54,48
Ambos sexos	Total Nacional	Total	2002T1	54,06
Ambos sexos	Total Nacional	Menores de 25 años	2021T4	33,89
Ambos sexos	Total Nacional	Menores de 25 años	2021T3	38,79
Ambos sexos	Total Nacional	Menores de 25 años	2021T2	35,96
Ambos sexos	Total Nacional	Menores de 25 años	2021T1	32,41
Ambos sexos	Total Nacional	Menores de 25 años	2020T4	33,14
Ambos sexos	Total Nacional	Menores de 25 años	2020T3	35,88
Ambos sexos	Total Nacional	Menores de 25 años	2020T2	30,14
Ambos sexos	Total Nacional	Menores de 25 años	2020T1	34,66
Ambos sexos	Total Nacional	Menores de 25 años	2019T4	35,94
Ambos sexos	Total Nacional	Menores de 25 años	2019T3	39,56
Ambos sexos	Total Nacional	Menores de 25 años	2019T2	36,72
Ambos sexos	Total Nacional	Menores de 25 años	2019T1	35,19
Ambos sexos	Total Nacional	Menores de 25 años	2018T4	36,51
Ambos sexos	Total Nacional	Menores de 25 años	2018T3	39,21
Ambos sexos	Total Nacional	Menores de 25 años	2018T2	37,04
Ambos sexos	Total Nacional	Menores de 25 años	2018T1	35,02
Ambos sexos	Total Nacional	Menores de 25 años	2017T4	36,95
Ambos sexos	Total Nacional	Menores de 25 años	2017T3	40,04
Ambos sexos	Total Nacional	Menores de 25 años	2017T2	36,80
Ambos sexos	Total Nacional	Menores de 25 años	2017T1	35,47
Ambos sexos	Total Nacional	Menores de 25 años	2016T4	35,77
Ambos sexos	Total Nacional	Menores de 25 años	2016T3	38,64
Ambos sexos	Total Nacional	Menores de 25 años	2016T2	37,30
Ambos sexos	Total Nacional	Menores de 25 años	2016T1	36,07
Ambos sexos	Total Nacional	Menores de 25 años	2015T4	37,19
Ambos sexos	Total Nacional	Menores de 25 años	2015T3	41,10
Ambos sexos	Total Nacional	Menores de 25 años	2015T2	38,86
Ambos sexos	Total Nacional	Menores de 25 años	2015T1	37,90
Ambos sexos	Total Nacional	Menores de 25 años	2014T4	39,02
Ambos sexos	Total Nacional	Menores de 25 años	2014T3	41,06
Ambos sexos	Total Nacional	Menores de 25 años	2014T2	39,11
Ambos sexos	Total Nacional	Menores de 25 años	2014T1	39,18
Ambos sexos	Total Nacional	Menores de 25 años	2013T4	40,55
Ambos sexos	Total Nacional	Menores de 25 años	2013T3	43,36
Ambos sexos	Total Nacional	Menores de 25 años	2013T2	41,35
Ambos sexos	Total Nacional	Menores de 25 años	2013T1	41,52
Ambos sexos	Total Nacional	Menores de 25 años	2012T4	41,30
Ambos sexos	Total Nacional	Menores de 25 años	2012T3	44,96
Ambos sexos	Total Nacional	Menores de 25 años	2012T2	43,20
Ambos sexos	Total Nacional	Menores de 25 años	2012T1	42,36
Ambos sexos	Total Nacional	Menores de 25 años	2011T4	43,14
Ambos sexos	Total Nacional	Menores de 25 años	2011T3	47,23
Ambos sexos	Total Nacional	Menores de 25 años	2011T2	45,06
Ambos sexos	Total Nacional	Menores de 25 años	2011T1	44,37
Ambos sexos	Total Nacional	Menores de 25 años	2010T4	45,34
Ambos sexos	Total Nacional	Menores de 25 años	2010T3	48,54
Ambos sexos	Total Nacional	Menores de 25 años	2010T2	47,30
Ambos sexos	Total Nacional	Menores de 25 años	2010T1	46,30
Ambos sexos	Total Nacional	Menores de 25 años	2009T4	47,05
Ambos sexos	Total Nacional	Menores de 25 años	2009T3	51,15
Ambos sexos	Total Nacional	Menores de 25 años	2009T2	49,67
Ambos sexos	Total Nacional	Menores de 25 años	2009T1	49,95
Ambos sexos	Total Nacional	Menores de 25 años	2008T4	51,51
Ambos sexos	Total Nacional	Menores de 25 años	2008T3	55,17
Ambos sexos	Total Nacional	Menores de 25 años	2008T2	52,20
Ambos sexos	Total Nacional	Menores de 25 años	2008T1	50,89
Ambos sexos	Total Nacional	Menores de 25 años	2007T4	51,52
Ambos sexos	Total Nacional	Menores de 25 años	2007T3	55,25
Ambos sexos	Total Nacional	Menores de 25 años	2007T2	52,37
Ambos sexos	Total Nacional	Menores de 25 años	2007T1	50,87
Ambos sexos	Total Nacional	Menores de 25 años	2006T4	52,11
Ambos sexos	Total Nacional	Menores de 25 años	2006T3	54,68
Ambos sexos	Total Nacional	Menores de 25 años	2006T2	52,67
Ambos sexos	Total Nacional	Menores de 25 años	2006T1	51,38
Ambos sexos	Total Nacional	Menores de 25 años	2005T4	51,86
Ambos sexos	Total Nacional	Menores de 25 años	2005T3	54,52
Ambos sexos	Total Nacional	Menores de 25 años	2005T2	52,30
Ambos sexos	Total Nacional	Menores de 25 años	2005T1	50,91
Ambos sexos	Total Nacional	Menores de 25 años	2004T4	49,07
Ambos sexos	Total Nacional	Menores de 25 años	2004T3	51,23
Ambos sexos	Total Nacional	Menores de 25 años	2004T2	48,98
Ambos sexos	Total Nacional	Menores de 25 años	2004T1	48,38
Ambos sexos	Total Nacional	Menores de 25 años	2003T4	48,77
Ambos sexos	Total Nacional	Menores de 25 años	2003T3	50,60
Ambos sexos	Total Nacional	Menores de 25 años	2003T2	48,43
Ambos sexos	Total Nacional	Menores de 25 años	2003T1	47,64
Ambos sexos	Total Nacional	Menores de 25 años	2002T4	48,02
Ambos sexos	Total Nacional	Menores de 25 años	2002T3	49,48
Ambos sexos	Total Nacional	Menores de 25 años	2002T2	47,46
Ambos sexos	Total Nacional	Menores de 25 años	2002T1	47,29
Ambos sexos	Total Nacional	25 y más años	2021T4	61,70
Ambos sexos	Total Nacional	25 y más años	2021T3	61,64
Ambos sexos	Total Nacional	25 y más años	2021T2	61,35
Ambos sexos	Total Nacional	25 y más años	2021T1	60,77
Ambos sexos	Total Nacional	25 y más años	2020T4	61,24
Ambos sexos	Total Nacional	25 y más años	2020T3	60,50
Ambos sexos	Total Nacional	25 y más años	2020T2	58,62
Ambos sexos	Total Nacional	25 y más años	2020T1	61,02
Ambos sexos	Total Nacional	25 y más años	2019T4	61,47
Ambos sexos	Total Nacional	25 y más años	2019T3	61,00
Ambos sexos	Total Nacional	25 y más años	2019T2	61,36
Ambos sexos	Total Nacional	25 y más años	2019T1	61,09
Ambos sexos	Total Nacional	25 y más años	2018T4	61,21
Ambos sexos	Total Nacional	25 y más años	2018T3	61,02
Ambos sexos	Total Nacional	25 y más años	2018T2	61,34
Ambos sexos	Total Nacional	25 y más años	2018T1	61,19
Ambos sexos	Total Nacional	25 y más años	2017T4	61,34
Ambos sexos	Total Nacional	25 y más años	2017T3	61,11
Ambos sexos	Total Nacional	25 y más años	2017T2	61,39
Ambos sexos	Total Nacional	25 y más años	2017T1	61,48
Ambos sexos	Total Nacional	25 y más años	2016T4	61,63
Ambos sexos	Total Nacional	25 y más años	2016T3	61,67
Ambos sexos	Total Nacional	25 y más años	2016T2	61,97
Ambos sexos	Total Nacional	25 y más años	2016T1	61,98
Ambos sexos	Total Nacional	25 y más años	2015T4	62,01
Ambos sexos	Total Nacional	25 y más años	2015T3	61,64
Ambos sexos	Total Nacional	25 y más años	2015T2	62,22
Ambos sexos	Total Nacional	25 y más años	2015T1	61,96
Ambos sexos	Total Nacional	25 y más años	2014T4	62,20
Ambos sexos	Total Nacional	25 y más años	2014T3	61,69
Ambos sexos	Total Nacional	25 y más años	2014T2	62,04
Ambos sexos	Total Nacional	25 y más años	2014T1	61,85
Ambos sexos	Total Nacional	25 y más años	2013T4	62,14
Ambos sexos	Total Nacional	25 y más años	2013T3	62,02
Ambos sexos	Total Nacional	25 y más años	2013T2	62,23
Ambos sexos	Total Nacional	25 y más años	2013T1	62,42
Ambos sexos	Total Nacional	25 y más años	2012T4	62,52
Ambos sexos	Total Nacional	25 y más años	2012T3	62,44
Ambos sexos	Total Nacional	25 y más años	2012T2	62,62
Ambos sexos	Total Nacional	25 y más años	2012T1	62,51
Ambos sexos	Total Nacional	25 y más años	2011T4	62,40
Ambos sexos	Total Nacional	25 y más años	2011T3	62,08
Ambos sexos	Total Nacional	25 y más años	2011T2	62,36
Ambos sexos	Total Nacional	25 y más años	2011T1	62,15
Ambos sexos	Total Nacional	25 y más años	2010T4	62,14
Ambos sexos	Total Nacional	25 y más años	2010T3	61,88
Ambos sexos	Total Nacional	25 y más años	2010T2	62,10
Ambos sexos	Total Nacional	25 y más años	2010T1	61,89
Ambos sexos	Total Nacional	25 y más años	2009T4	61,69
Ambos sexos	Total Nacional	25 y más años	2009T3	61,22
Ambos sexos	Total Nacional	25 y más años	2009T2	61,72
Ambos sexos	Total Nacional	25 y más años	2009T1	61,79
Ambos sexos	Total Nacional	25 y más años	2008T4	61,55
Ambos sexos	Total Nacional	25 y más años	2008T3	60,92
Ambos sexos	Total Nacional	25 y más años	2008T2	61,16
Ambos sexos	Total Nacional	25 y más años	2008T1	60,89
Ambos sexos	Total Nacional	25 y más años	2007T4	60,58
