Rama de actividad CNAE 2009	Sexo	Unidad	Periodo	Total
Total	Ambos sexos	Valor absoluto	2021T4	20.184,9
Total	Ambos sexos	Valor absoluto	2021T3	20.031,0
Total	Ambos sexos	Valor absoluto	2021T2	19.671,7
Total	Ambos sexos	Valor absoluto	2021T1	19.206,8
Total	Ambos sexos	Valor absoluto	2020T4	19.344,3
Total	Ambos sexos	Valor absoluto	2020T3	19.176,9
Total	Ambos sexos	Valor absoluto	2020T2	18.607,2
Total	Ambos sexos	Valor absoluto	2020T1	19.681,3
Total	Ambos sexos	Valor absoluto	2019T4	19.966,9
Total	Ambos sexos	Valor absoluto	2019T3	19.874,3
Total	Ambos sexos	Valor absoluto	2019T2	19.804,9
Total	Ambos sexos	Valor absoluto	2019T1	19.471,1
Total	Ambos sexos	Valor absoluto	2018T4	19.564,6
Total	Ambos sexos	Valor absoluto	2018T3	19.528,0
Total	Ambos sexos	Valor absoluto	2018T2	19.344,1
Total	Ambos sexos	Valor absoluto	2018T1	18.874,2
Total	Ambos sexos	Valor absoluto	2017T4	18.998,4
Total	Ambos sexos	Valor absoluto	2017T3	19.049,2
Total	Ambos sexos	Valor absoluto	2017T2	18.813,3
Total	Ambos sexos	Valor absoluto	2017T1	18.438,3
Total	Ambos sexos	Valor absoluto	2016T4	18.508,1
Total	Ambos sexos	Valor absoluto	2016T3	18.527,5
Total	Ambos sexos	Valor absoluto	2016T2	18.301,0
Total	Ambos sexos	Valor absoluto	2016T1	18.029,6
Total	Ambos sexos	Valor absoluto	2015T4	18.094,2
Total	Ambos sexos	Valor absoluto	2015T3	18.048,7
Total	Ambos sexos	Valor absoluto	2015T2	17.866,5
Total	Ambos sexos	Valor absoluto	2015T1	17.454,8
Total	Ambos sexos	Valor absoluto	2014T4	17.569,1
Total	Ambos sexos	Valor absoluto	2014T3	17.504,0
Total	Ambos sexos	Valor absoluto	2014T2	17.353,0
Total	Ambos sexos	Valor absoluto	2014T1	16.950,6
Total	Ambos sexos	Valor absoluto	2013T4	17.135,2
Total	Ambos sexos	Valor absoluto	2013T3	17.230,0
Total	Ambos sexos	Valor absoluto	2013T2	17.160,6
Total	Ambos sexos	Valor absoluto	2013T1	17.030,2
Total	Ambos sexos	Valor absoluto	2012T4	17.339,4
Total	Ambos sexos	Valor absoluto	2012T3	17.667,7
Total	Ambos sexos	Valor absoluto	2012T2	17.758,5
Total	Ambos sexos	Valor absoluto	2012T1	17.765,1
Total	Ambos sexos	Valor absoluto	2011T4	18.153,0
Total	Ambos sexos	Valor absoluto	2011T3	18.484,5
Total	Ambos sexos	Valor absoluto	2011T2	18.622,0
Total	Ambos sexos	Valor absoluto	2011T1	18.426,2
Total	Ambos sexos	Valor absoluto	2010T4	18.674,9
Total	Ambos sexos	Valor absoluto	2010T3	18.819,0
Total	Ambos sexos	Valor absoluto	2010T2	18.751,1
Total	Ambos sexos	Valor absoluto	2010T1	18.652,9
Total	Ambos sexos	Valor absoluto	2009T4	18.890,4
Total	Ambos sexos	Valor absoluto	2009T3	19.098,4
Total	Ambos sexos	Valor absoluto	2009T2	19.154,2
Total	Ambos sexos	Valor absoluto	2009T1	19.284,4
Total	Ambos sexos	Valor absoluto	2008T4	20.055,3
Total	Ambos sexos	Valor absoluto	2008T3	20.556,4
Total	Ambos sexos	Valor absoluto	2008T2	20.646,9
Total	Ambos sexos	Valor absoluto	2008T1	20.620,0
Total	Ambos sexos	Porcentaje	2021T4	100,0
Total	Ambos sexos	Porcentaje	2021T3	100,0
Total	Ambos sexos	Porcentaje	2021T2	100,0
Total	Ambos sexos	Porcentaje	2021T1	100,0
Total	Ambos sexos	Porcentaje	2020T4	100,0
Total	Ambos sexos	Porcentaje	2020T3	100,0
Total	Ambos sexos	Porcentaje	2020T2	100,0
Total	Ambos sexos	Porcentaje	2020T1	100,0
Total	Ambos sexos	Porcentaje	2019T4	100,0
Total	Ambos sexos	Porcentaje	2019T3	100,0
Total	Ambos sexos	Porcentaje	2019T2	100,0
Total	Ambos sexos	Porcentaje	2019T1	100,0
Total	Ambos sexos	Porcentaje	2018T4	100,0
Total	Ambos sexos	Porcentaje	2018T3	100,0
Total	Ambos sexos	Porcentaje	2018T2	100,0
Total	Ambos sexos	Porcentaje	2018T1	100,0
Total	Ambos sexos	Porcentaje	2017T4	100,0
Total	Ambos sexos	Porcentaje	2017T3	100,0
Total	Ambos sexos	Porcentaje	2017T2	100,0
Total	Ambos sexos	Porcentaje	2017T1	100,0
Total	Ambos sexos	Porcentaje	2016T4	100,0
Total	Ambos sexos	Porcentaje	2016T3	100,0
Total	Ambos sexos	Porcentaje	2016T2	100,0
Total	Ambos sexos	Porcentaje	2016T1	100,0
Total	Ambos sexos	Porcentaje	2015T4	100,0
Total	Ambos sexos	Porcentaje	2015T3	100,0
Total	Ambos sexos	Porcentaje	2015T2	100,0
Total	Ambos sexos	Porcentaje	2015T1	100,0
Total	Ambos sexos	Porcentaje	2014T4	100,0
Total	Ambos sexos	Porcentaje	2014T3	100,0
Total	Ambos sexos	Porcentaje	2014T2	100,0
Total	Ambos sexos	Porcentaje	2014T1	100,0
Total	Ambos sexos	Porcentaje	2013T4	100,0
Total	Ambos sexos	Porcentaje	2013T3	100,0
Total	Ambos sexos	Porcentaje	2013T2	100,0
Total	Ambos sexos	Porcentaje	2013T1	100,0
Total	Ambos sexos	Porcentaje	2012T4	100,0
Total	Ambos sexos	Porcentaje	2012T3	100,0
Total	Ambos sexos	Porcentaje	2012T2	100,0
Total	Ambos sexos	Porcentaje	2012T1	100,0
Total	Ambos sexos	Porcentaje	2011T4	100,0
Total	Ambos sexos	Porcentaje	2011T3	100,0
Total	Ambos sexos	Porcentaje	2011T2	100,0
Total	Ambos sexos	Porcentaje	2011T1	100,0
Total	Ambos sexos	Porcentaje	2010T4	100,0
Total	Ambos sexos	Porcentaje	2010T3	100,0
Total	Ambos sexos	Porcentaje	2010T2	100,0
Total	Ambos sexos	Porcentaje	2010T1	100,0
Total	Ambos sexos	Porcentaje	2009T4	100,0
Total	Ambos sexos	Porcentaje	2009T3	100,0
Total	Ambos sexos	Porcentaje	2009T2	100,0
Total	Ambos sexos	Porcentaje	2009T1	100,0
Total	Ambos sexos	Porcentaje	2008T4	100,0
Total	Ambos sexos	Porcentaje	2008T3	100,0
Total	Ambos sexos	Porcentaje	2008T2	100,0
Total	Ambos sexos	Porcentaje	2008T1	100,0
Total	Hombres	Valor absoluto	2021T4	10.830,9
Total	Hombres	Valor absoluto	2021T3	10.782,5
Total	Hombres	Valor absoluto	2021T2	10.608,5
Total	Hombres	Valor absoluto	2021T1	10.385,0
Total	Hombres	Valor absoluto	2020T4	10.469,8
Total	Hombres	Valor absoluto	2020T3	10.454,2
Total	Hombres	Valor absoluto	2020T2	10.133,4
Total	Hombres	Valor absoluto	2020T1	10.661,2
Total	Hombres	Valor absoluto	2019T4	10.808,6
Total	Hombres	Valor absoluto	2019T3	10.824,5
Total	Hombres	Valor absoluto	2019T2	10.750,2
Total	Hombres	Valor absoluto	2019T1	10.599,1
Total	Hombres	Valor absoluto	2018T4	10.653,1
Total	Hombres	Valor absoluto	2018T3	10.662,4
Total	Hombres	Valor absoluto	2018T2	10.528,3
Total	Hombres	Valor absoluto	2018T1	10.284,0
Total	Hombres	Valor absoluto	2017T4	10.339,2
Total	Hombres	Valor absoluto	2017T3	10.420,5
Total	Hombres	Valor absoluto	2017T2	10.256,9
Total	Hombres	Valor absoluto	2017T1	10.048,5
Total	Hombres	Valor absoluto	2016T4	10.071,9
Total	Hombres	Valor absoluto	2016T3	10.112,8
Total	Hombres	Valor absoluto	2016T2	9.971,1
Total	Hombres	Valor absoluto	2016T1	9.847,4
Total	Hombres	Valor absoluto	2015T4	9.863,3
Total	Hombres	Valor absoluto	2015T3	9.896,5
Total	Hombres	Valor absoluto	2015T2	9.761,4
Total	Hombres	Valor absoluto	2015T1	9.520,2
Total	Hombres	Valor absoluto	2014T4	9.558,3
Total	Hombres	Valor absoluto	2014T3	9.605,9
Total	Hombres	Valor absoluto	2014T2	9.441,0
Total	Hombres	Valor absoluto	2014T1	9.165,6
Total	Hombres	Valor absoluto	2013T4	9.306,8
Total	Hombres	Valor absoluto	2013T3	9.384,8
Total	Hombres	Valor absoluto	2013T2	9.333,2
Total	Hombres	Valor absoluto	2013T1	9.238,3
Total	Hombres	Valor absoluto	2012T4	9.435,7
Total	Hombres	Valor absoluto	2012T3	9.645,8
Total	Hombres	Valor absoluto	2012T2	9.663,1
Total	Hombres	Valor absoluto	2012T1	9.688,0
Total	Hombres	Valor absoluto	2011T4	9.980,3
Total	Hombres	Valor absoluto	2011T3	10.204,0
Total	Hombres	Valor absoluto	2011T2	10.229,1
Total	Hombres	Valor absoluto	2011T1	10.196,5
Total	Hombres	Valor absoluto	2010T4	10.341,1
Total	Hombres	Valor absoluto	2010T3	10.514,1
Total	Hombres	Valor absoluto	2010T2	10.470,2
Total	Hombres	Valor absoluto	2010T1	10.369,3
Total	Hombres	Valor absoluto	2009T4	10.550,8
Total	Hombres	Valor absoluto	2009T3	10.705,3
Total	Hombres	Valor absoluto	2009T2	10.777,1
Total	Hombres	Valor absoluto	2009T1	10.899,2
Total	Hombres	Valor absoluto	2008T4	11.414,9
Total	Hombres	Valor absoluto	2008T3	11.841,6
Total	Hombres	Valor absoluto	2008T2	11.950,2
Total	Hombres	Valor absoluto	2008T1	12.014,0
Total	Hombres	Porcentaje	2021T4	100,0
Total	Hombres	Porcentaje	2021T3	100,0
Total	Hombres	Porcentaje	2021T2	100,0
Total	Hombres	Porcentaje	2021T1	100,0
Total	Hombres	Porcentaje	2020T4	100,0
Total	Hombres	Porcentaje	2020T3	100,0
Total	Hombres	Porcentaje	2020T2	100,0
Total	Hombres	Porcentaje	2020T1	100,0
Total	Hombres	Porcentaje	2019T4	100,0
Total	Hombres	Porcentaje	2019T3	100,0
Total	Hombres	Porcentaje	2019T2	100,0
Total	Hombres	Porcentaje	2019T1	100,0
Total	Hombres	Porcentaje	2018T4	100,0
Total	Hombres	Porcentaje	2018T3	100,0
Total	Hombres	Porcentaje	2018T2	100,0
Total	Hombres	Porcentaje	2018T1	100,0
Total	Hombres	Porcentaje	2017T4	100,0
Total	Hombres	Porcentaje	2017T3	100,0
Total	Hombres	Porcentaje	2017T2	100,0
Total	Hombres	Porcentaje	2017T1	100,0
Total	Hombres	Porcentaje	2016T4	100,0
Total	Hombres	Porcentaje	2016T3	100,0
Total	Hombres	Porcentaje	2016T2	100,0
Total	Hombres	Porcentaje	2016T1	100,0
Total	Hombres	Porcentaje	2015T4	100,0
Total	Hombres	Porcentaje	2015T3	100,0
Total	Hombres	Porcentaje	2015T2	100,0
Total	Hombres	Porcentaje	2015T1	100,0
Total	Hombres	Porcentaje	2014T4	100,0
Total	Hombres	Porcentaje	2014T3	100,0
Total	Hombres	Porcentaje	2014T2	100,0
Total	Hombres	Porcentaje	2014T1	100,0
Total	Hombres	Porcentaje	2013T4	100,0
Total	Hombres	Porcentaje	2013T3	100,0
Total	Hombres	Porcentaje	2013T2	100,0
Total	Hombres	Porcentaje	2013T1	100,0
Total	Hombres	Porcentaje	2012T4	100,0
Total	Hombres	Porcentaje	2012T3	100,0
Total	Hombres	Porcentaje	2012T2	100,0
Total	Hombres	Porcentaje	2012T1	100,0
Total	Hombres	Porcentaje	2011T4	100,0
Total	Hombres	Porcentaje	2011T3	100,0
Total	Hombres	Porcentaje	2011T2	100,0
Total	Hombres	Porcentaje	2011T1	100,0
Total	Hombres	Porcentaje	2010T4	100,0
Total	Hombres	Porcentaje	2010T3	100,0
Total	Hombres	Porcentaje	2010T2	100,0
Total	Hombres	Porcentaje	2010T1	100,0
Total	Hombres	Porcentaje	2009T4	100,0
Total	Hombres	Porcentaje	2009T3	100,0
