
Resultados por universidad
Matriculados por tipo de centro, sexo, grupo de edad y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2015-2016,2015-2016,2015-2016,2015-2016,2015-2016,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Total,Total,Total,Total,Total,
A Coruña,116.0,214.0,22.0,45.0,56.0,
Alcalá,0.0,0.0,0.0,0.0,0.0,
Alicante,187.0,23.0,108.0,35.0,51.0,
Almería,0.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,357.0,135.0,205.0,408.0,335.0,
Autónoma de Madrid,223.0,32.0,156.0,339.0,224.0,
Barcelona,0.0,0.0,0.0,0.0,0.0,
Burgos,0.0,0.0,0.0,0.0,0.0,
Cádiz,0.0,0.0,0.0,0.0,0.0,
Cantabria,0.0,0.0,0.0,0.0,0.0,
Carlos III de Madrid,195.0,315.0,37.0,0.0,0.0,
Castilla-La Mancha,31.0,172.0,139.0,63.0,28.0,
Complutense de Madrid,564.0,54.0,512.0,343.0,238.0,
Córdoba,116.0,165.0,63.0,60.0,100.0,
Extremadura,0.0,0.0,0.0,0.0,0.0,
Girona,0.0,0.0,0.0,0.0,0.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),0.0,0.0,0.0,0.0,0.0,
Jaén,0.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,
La Laguna,38.0,24.0,50.0,39.0,62.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,0.0,0.0,0.0,0.0,0.0,
León,0.0,0.0,0.0,0.0,0.0,
Lleida,39.0,53.0,19.0,34.0,0.0,
Málaga,140.0,159.0,70.0,95.0,95.0,
Miguel Hernández de Elche,13.0,42.0,0.0,63.0,26.0,
Murcia,0.0,0.0,0.0,0.0,0.0,
Oviedo,0.0,0.0,0.0,0.0,0.0,
Pablo de Olavide,0.0,0.0,0.0,0.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,0.0,0.0,0.0,0.0,0.0,
Politécnica de Cartagena,0.0,0.0,0.0,0.0,0.0,
Politécnica de Catalunya,60.0,878.0,0.0,0.0,80.0,
Politécnica de Madrid,54.0,778.0,0.0,0.0,2.0,
Politècnica de València,0.0,0.0,0.0,0.0,0.0,
Pompeu Fabra,183.0,85.0,109.0,156.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,108.0,92.0,27.0,67.0,24.0,
Rovira i Virgili,63.0,120.0,72.0,42.0,59.0,
Salamanca,286.0,41.0,150.0,104.0,79.0,
Santiago de Compostela,232.0,105.0,215.0,216.0,201.0,
Sevilla,0.0,0.0,0.0,0.0,0.0,
València (Estudi General),308.0,47.0,168.0,345.0,147.0,
Valladolid,0.0,0.0,0.0,0.0,0.0,
Vigo,108.0,164.0,45.0,9.0,128.0,
Zaragoza,0.0,0.0,0.0,0.0,0.0,
Universidades Públicas No Presenciales,544.0,106.0,172.0,45.0,27.0,
Nacional de Educación a Distancia,544.0,106.0,172.0,45.0,27.0,
Universidades Públicas Especiales,16.0,0.0,0.0,0.0,5.0,
Internacional de Andalucía,0.0,0.0,0.0,0.0,0.0,
Internacional Menéndez Pelayo,16.0,0.0,0.0,0.0,5.0,
Universidades Privadas,323.0,169.0,119.0,120.0,59.0,
Universidades Privadas Presenciales,202.0,136.0,119.0,120.0,59.0,
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,
Antonio de Nebrija,0.0,7.0,0.0,0.0,0.0,
Camilo José Cela,0.0,0.0,0.0,0.0,0.0,
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,
Católica de Valencia San Vicente Mártir,2.0,0.0,0.0,0.0,0.0,
Católica San Antonio,0.0,0.0,0.0,0.0,0.0,
Deusto,60.0,20.0,0.0,6.0,0.0,
Europea de Madrid,0.0,0.0,0.0,0.0,0.0,
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,
Francisco de Vitoria,0.0,0.0,0.0,22.0,0.0,
IE Universidad,0.0,0.0,0.0,0.0,0.0,
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,
Loyola Andalucía,0.0,0.0,0.0,0.0,0.0,
Mondragón Unibertsitatea,14.0,53.0,0.0,0.0,0.0,
Navarra,80.0,56.0,95.0,76.0,30.0,
Pontificia Comillas,14.0,0.0,20.0,0.0,0.0,
Pontificia de Salamanca,15.0,0.0,0.0,0.0,0.0,
Ramón Llull,0.0,0.0,0.0,0.0,0.0,
San Jorge,0.0,0.0,0.0,10.0,10.0,
San Pablo-CEU,0.0,0.0,0.0,0.0,0.0,
Vic-Central de Catalunya,17.0,0.0,4.0,6.0,19.0,
Universidades Privadas No Presenciales,121.0,33.0,0.0,0.0,0.0,
A Distancia de Madrid,42.0,0.0,0.0,0.0,0.0,
Internacional de La Rioja,10.0,0.0,0.0,0.0,0.0,
Oberta de Catalunya,69.0,33.0,0.0,0.0,0.0,
Notas:
Los datos del periodo 2020-2021 son provisionales.
Fuente: Sistema Integrado de Información Universitaria
