
Resultados por universidad
Matriculados por tipo de centro, sexo, grupo de edad y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,
,Otras unidades,Otras unidades,Otras unidades,Otras unidades,Otras unidades,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Total,Total,Total,Total,Total,
A Coruña,0.0,0.0,0.0,0.0,0.0,
Alcalá,128.0,141.0,79.0,154.0,56.0,
Alicante,25.0,85.0,0.0,0.0,92.0,
Almería,184.0,72.0,12.0,49.0,57.0,
Autónoma de Barcelona,0.0,0.0,0.0,0.0,0.0,
Autónoma de Madrid,264.0,43.0,246.0,439.0,312.0,
Barcelona,316.0,31.0,371.0,540.0,300.0,
Burgos,0.0,0.0,0.0,0.0,0.0,
Cádiz,56.0,82.0,99.0,60.0,171.0,
Cantabria,36.0,121.0,46.0,38.0,32.0,
Carlos III de Madrid,0.0,0.0,0.0,0.0,0.0,
Castilla-La Mancha,146.0,16.0,0.0,55.0,0.0,
Complutense de Madrid,12.0,0.0,0.0,0.0,0.0,
Córdoba,0.0,0.0,0.0,0.0,0.0,
Extremadura,128.0,22.0,72.0,70.0,98.0,
Girona,97.0,99.0,42.0,22.0,66.0,
Granada,435.0,179.0,296.0,328.0,224.0,
Huelva,113.0,53.0,51.0,23.0,0.0,
Illes Balears (Les),107.0,37.0,58.0,80.0,76.0,
Jaén,72.0,68.0,50.0,42.0,60.0,
Jaume I de Castellón,106.0,63.0,31.0,32.0,51.0,
La Laguna,0.0,0.0,0.0,0.0,0.0,
La Rioja,18.0,0.0,29.0,7.0,49.0,
Las Palmas de Gran Canaria,39.0,80.0,62.0,68.0,22.0,
León,68.0,66.0,29.0,63.0,14.0,
Lleida,0.0,0.0,0.0,0.0,0.0,
Málaga,30.0,0.0,0.0,0.0,0.0,
Miguel Hernández de Elche,0.0,0.0,0.0,0.0,0.0,
Murcia,281.0,39.0,166.0,279.0,94.0,
Oviedo,91.0,209.0,146.0,119.0,82.0,
Pablo de Olavide,169.0,0.0,87.0,58.0,50.0,
País Vasco/Euskal Herriko Unibertsitatea,372.0,335.0,203.0,202.0,280.0,
Politécnica de Cartagena,16.0,124.0,0.0,0.0,2.0,
Politécnica de Catalunya,0.0,47.0,0.0,0.0,93.0,
Politécnica de Madrid,0.0,0.0,0.0,0.0,0.0,
Politècnica de València,46.0,712.0,138.0,0.0,168.0,
Pompeu Fabra,0.0,0.0,0.0,0.0,0.0,
Pública de Navarra,14.0,37.0,17.0,31.0,29.0,
Rey Juan Carlos,0.0,0.0,0.0,0.0,0.0,
Rovira i Virgili,0.0,0.0,0.0,0.0,0.0,
Salamanca,45.0,0.0,21.0,91.0,21.0,
Santiago de Compostela,0.0,0.0,0.0,0.0,0.0,
Sevilla,316.0,379.0,241.0,266.0,167.0,
València (Estudi General),82.0,0.0,0.0,0.0,33.0,
Valladolid,0.0,0.0,0.0,0.0,0.0,
Vigo,0.0,0.0,0.0,0.0,0.0,
Zaragoza,221.0,245.0,119.0,119.0,168.0,
Universidades Públicas No Presenciales,0.0,0.0,0.0,0.0,0.0,
Nacional de Educación a Distancia,0.0,0.0,0.0,0.0,0.0,
Universidades Públicas Especiales,0.0,0.0,0.0,0.0,0.0,
Internacional de Andalucía,0.0,0.0,0.0,0.0,0.0,
Internacional Menéndez Pelayo,0.0,0.0,0.0,0.0,0.0,
Universidades Privadas,331.0,83.0,55.0,246.0,73.0,
Universidades Privadas Presenciales,331.0,83.0,55.0,246.0,73.0,
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,
Antonio de Nebrija,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,0.0,0.0,0.0,0.0,0.0,
Cardenal Herrera-CEU,7.0,5.0,10.0,29.0,0.0,
Católica de Valencia San Vicente Mártir,32.0,0.0,0.0,60.0,15.0,
Católica San Antonio,106.0,27.0,0.0,111.0,0.0,
Deusto,0.0,0.0,0.0,0.0,0.0,
Europea de Madrid,13.0,0.0,0.0,0.0,47.0,
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,
Francisco de Vitoria,0.0,0.0,0.0,0.0,0.0,
IE Universidad,39.0,0.0,0.0,0.0,0.0,
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,
Loyola Andalucía,13.0,0.0,0.0,0.0,11.0,
Mondragón Unibertsitatea,0.0,0.0,0.0,0.0,0.0,
Navarra,40.0,0.0,0.0,0.0,0.0,
Pontificia Comillas,32.0,40.0,10.0,0.0,0.0,
Pontificia de Salamanca,0.0,0.0,0.0,0.0,0.0,
Ramón Llull,0.0,0.0,0.0,0.0,0.0,
San Jorge,0.0,0.0,0.0,0.0,0.0,
San Pablo-CEU,49.0,11.0,35.0,46.0,0.0,
Vic-Central de Catalunya,0.0,0.0,0.0,0.0,0.0,
Universidades Privadas No Presenciales,0.0,0.0,0.0,0.0,0.0,
A Distancia de Madrid,0.0,0.0,0.0,0.0,0.0,
Internacional de La Rioja,0.0,0.0,0.0,0.0,0.0,
Oberta de Catalunya,0.0,0.0,0.0,0.0,0.0,
Notas:
Los datos del periodo 2020-2021 son provisionales.
Fuente: Sistema Integrado de Información Universitaria
