
Resultados por universidad
Matriculados por tipo de centro, sexo, grupo de edad y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Total,Total,Total,Total,Total,
A Coruña,205.0,93.0,79.0,130.0,69.0,
Alcalá,0.0,0.0,0.0,0.0,0.0,
Alicante,220.0,12.0,182.0,91.0,90.0,
Almería,0.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,552.0,44.0,386.0,1137.0,537.0,
Autónoma de Madrid,0.0,0.0,0.0,0.0,0.0,
Barcelona,0.0,0.0,0.0,0.0,0.0,
Burgos,0.0,0.0,0.0,0.0,0.0,
Cádiz,0.0,0.0,0.0,0.0,0.0,
Cantabria,0.0,0.0,0.0,0.0,0.0,
Carlos III de Madrid,203.0,145.0,136.0,0.0,0.0,
Castilla-La Mancha,0.0,116.0,163.0,166.0,41.0,
Complutense de Madrid,948.0,37.0,867.0,1152.0,382.0,
Córdoba,314.0,94.0,171.0,136.0,139.0,
Extremadura,0.0,0.0,0.0,0.0,0.0,
Girona,0.0,0.0,0.0,0.0,0.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),0.0,0.0,0.0,0.0,0.0,
Jaén,51.0,3.0,97.0,80.0,71.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,
La Laguna,124.0,19.0,78.0,222.0,98.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,0.0,0.0,0.0,0.0,0.0,
León,0.0,0.0,0.0,0.0,0.0,
Lleida,83.0,87.0,37.0,145.0,1.0,
Málaga,196.0,51.0,155.0,264.0,137.0,
Miguel Hernández de Elche,34.0,36.0,0.0,174.0,64.0,
Murcia,376.0,7.0,211.0,582.0,126.0,
Oviedo,0.0,0.0,0.0,0.0,0.0,
Pablo de Olavide,0.0,0.0,0.0,0.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,0.0,0.0,0.0,0.0,0.0,
Politécnica de Cartagena,0.0,0.0,0.0,0.0,0.0,
Politécnica de Catalunya,39.0,399.0,0.0,0.0,103.0,
Politécnica de Madrid,21.0,610.0,0.0,0.0,3.0,
Politècnica de València,0.0,0.0,0.0,0.0,0.0,
Pompeu Fabra,180.0,70.0,172.0,280.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,159.0,55.0,56.0,162.0,43.0,
Rovira i Virgili,123.0,72.0,173.0,209.0,89.0,
Salamanca,0.0,0.0,0.0,0.0,0.0,
Santiago de Compostela,356.0,80.0,317.0,543.0,174.0,
Sevilla,0.0,0.0,0.0,0.0,0.0,
València (Estudi General),0.0,0.0,0.0,0.0,0.0,
Valladolid,0.0,0.0,0.0,0.0,0.0,
Vigo,265.0,80.0,150.0,25.0,228.0,
Zaragoza,0.0,0.0,0.0,0.0,0.0,
Universidades Públicas No Presenciales,462.0,32.0,199.0,80.0,28.0,
Nacional de Educación a Distancia,462.0,32.0,199.0,80.0,28.0,
Universidades Públicas Especiales,20.0,0.0,0.0,0.0,10.0,
Internacional de Andalucía,4.0,0.0,0.0,0.0,0.0,
Internacional Menéndez Pelayo,16.0,0.0,0.0,0.0,10.0,
Universidades Privadas,725.0,164.0,94.0,517.0,54.0,
Universidades Privadas Presenciales,555.0,148.0,94.0,517.0,54.0,
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,
Alfonso X El Sabio,0.0,0.0,0.0,12.0,0.0,
Antonio de Nebrija,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,0.0,0.0,0.0,0.0,0.0,
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,
Católica de Valencia San Vicente Mártir,2.0,0.0,0.0,0.0,0.0,
Católica San Antonio,0.0,0.0,0.0,0.0,0.0,
Deusto,148.0,16.0,0.0,40.0,0.0,
Europea de Madrid,0.0,0.0,0.0,0.0,0.0,
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,
Francisco de Vitoria,0.0,0.0,8.0,32.0,0.0,
IE Universidad,0.0,0.0,0.0,0.0,0.0,
Internacional de Catalunya,38.0,16.0,0.0,80.0,0.0,
Loyola Andalucía,0.0,0.0,0.0,0.0,0.0,
Mondragón Unibertsitatea,30.0,19.0,0.0,0.0,0.0,
Navarra,89.0,57.0,46.0,293.0,13.0,
Pontificia Comillas,12.0,0.0,7.0,0.0,0.0,
Pontificia de Salamanca,38.0,0.0,0.0,0.0,0.0,
Ramón Llull,150.0,40.0,12.0,0.0,13.0,
San Jorge,0.0,0.0,0.0,19.0,6.0,
San Pablo-CEU,0.0,0.0,0.0,0.0,0.0,
Vic-Central de Catalunya,48.0,0.0,21.0,41.0,22.0,
Universidades Privadas No Presenciales,170.0,16.0,0.0,0.0,0.0,
A Distancia de Madrid,32.0,0.0,0.0,0.0,0.0,
Internacional de La Rioja,21.0,2.0,0.0,0.0,0.0,
Oberta de Catalunya,117.0,14.0,0.0,0.0,0.0,
Notas:
Los datos del periodo 2020-2021 son provisionales.
Fuente: Sistema Integrado de Información Universitaria
