
Resultados por universidad
Matriculados por tipo de centro, sexo, grupo de edad y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,
,Otras unidades,Otras unidades,Otras unidades,Otras unidades,Otras unidades,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Total,Total,Total,Total,Total,
A Coruña,0.0,0.0,0.0,0.0,0.0,
Alcalá,137.0,72.0,189.0,357.0,108.0,
Alicante,83.0,25.0,0.0,0.0,93.0,
Almería,239.0,46.0,9.0,121.0,69.0,
Autónoma de Barcelona,0.0,0.0,0.0,0.0,0.0,
Autónoma de Madrid,433.0,24.0,383.0,686.0,820.0,
Barcelona,432.0,21.0,622.0,1354.0,421.0,
Burgos,111.0,12.0,33.0,26.0,28.0,
Cádiz,94.0,33.0,97.0,114.0,172.0,
Cantabria,50.0,66.0,36.0,121.0,18.0,
Carlos III de Madrid,0.0,0.0,0.0,0.0,0.0,
Castilla-La Mancha,135.0,31.0,66.0,46.0,0.0,
Complutense de Madrid,19.0,0.0,0.0,0.0,0.0,
Córdoba,0.0,0.0,0.0,0.0,0.0,
Extremadura,188.0,6.0,72.0,111.0,112.0,
Girona,118.0,64.0,70.0,111.0,37.0,
Granada,493.0,85.0,294.0,546.0,163.0,
Huelva,148.0,49.0,46.0,50.0,0.0,
Illes Balears (Les),159.0,14.0,63.0,152.0,72.0,
Jaén,3.0,0.0,28.0,1.0,6.0,
Jaume I de Castellón,126.0,38.0,98.0,137.0,37.0,
La Laguna,0.0,0.0,0.0,0.0,0.0,
La Rioja,32.0,0.0,45.0,31.0,37.0,
Las Palmas de Gran Canaria,55.0,48.0,72.0,105.0,27.0,
León,49.0,30.0,42.0,126.0,25.0,
Lleida,0.0,0.0,0.0,0.0,0.0,
Málaga,51.0,2.0,0.0,0.0,0.0,
Miguel Hernández de Elche,0.0,0.0,0.0,0.0,0.0,
Murcia,0.0,0.0,0.0,0.0,0.0,
Oviedo,161.0,127.0,166.0,252.0,156.0,
Pablo de Olavide,244.0,0.0,110.0,22.0,84.0,
País Vasco/Euskal Herriko Unibertsitatea,536.0,194.0,299.0,484.0,439.0,
Politécnica de Cartagena,15.0,89.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,67.0,0.0,0.0,47.0,
Politécnica de Madrid,0.0,0.0,0.0,0.0,0.0,
Politècnica de València,78.0,442.0,269.0,0.0,269.0,
Pompeu Fabra,0.0,0.0,0.0,0.0,0.0,
Pública de Navarra,22.0,54.0,37.0,69.0,28.0,
Rey Juan Carlos,0.0,0.0,0.0,0.0,0.0,
Rovira i Virgili,0.0,0.0,0.0,0.0,0.0,
Salamanca,498.0,20.0,302.0,414.0,139.0,
Santiago de Compostela,0.0,2.0,0.0,3.0,5.0,
Sevilla,468.0,176.0,305.0,582.0,124.0,
València (Estudi General),846.0,52.0,296.0,1206.0,145.0,
Valladolid,142.0,111.0,168.0,273.0,38.0,
Vigo,0.0,0.0,0.0,0.0,0.0,
Zaragoza,289.0,165.0,178.0,354.0,192.0,
Universidades Públicas No Presenciales,0.0,0.0,0.0,0.0,0.0,
Nacional de Educación a Distancia,0.0,0.0,0.0,0.0,0.0,
Universidades Públicas Especiales,0.0,0.0,0.0,0.0,0.0,
Internacional de Andalucía,0.0,0.0,0.0,0.0,0.0,
Internacional Menéndez Pelayo,0.0,0.0,0.0,0.0,0.0,
Universidades Privadas,326.0,36.0,88.0,427.0,33.0,
Universidades Privadas Presenciales,304.0,36.0,88.0,427.0,33.0,
Abat Oliba CEU,9.0,0.0,11.0,3.0,0.0,
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,
Antonio de Nebrija,2.0,3.0,23.0,0.0,0.0,
Camilo José Cela,0.0,0.0,0.0,0.0,0.0,
Cardenal Herrera-CEU,3.0,0.0,12.0,39.0,0.0,
Católica de Valencia San Vicente Mártir,49.0,0.0,0.0,83.0,21.0,
Católica San Antonio,90.0,12.0,0.0,131.0,0.0,
Deusto,0.0,0.0,0.0,0.0,0.0,
Europea de Madrid,0.0,4.0,0.0,95.0,0.0,
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,
Francisco de Vitoria,0.0,0.0,0.0,0.0,0.0,
IE Universidad,21.0,0.0,0.0,0.0,0.0,
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,
Loyola Andalucía,14.0,0.0,0.0,2.0,12.0,
Mondragón Unibertsitatea,0.0,0.0,0.0,0.0,0.0,
Navarra,20.0,0.0,0.0,0.0,0.0,
Pontificia Comillas,62.0,10.0,8.0,0.0,0.0,
Pontificia de Salamanca,0.0,0.0,0.0,0.0,0.0,
Ramón Llull,0.0,0.0,0.0,0.0,0.0,
San Jorge,0.0,0.0,0.0,0.0,0.0,
San Pablo-CEU,34.0,7.0,34.0,74.0,0.0,
Vic-Central de Catalunya,0.0,0.0,0.0,0.0,0.0,
Universidades Privadas No Presenciales,22.0,0.0,0.0,0.0,0.0,
A Distancia de Madrid,0.0,0.0,0.0,0.0,0.0,
Internacional de La Rioja,22.0,0.0,0.0,0.0,0.0,
Oberta de Catalunya,0.0,0.0,0.0,0.0,0.0,
Notas:
Los datos del periodo 2020-2021 son provisionales.
Fuente: Sistema Integrado de Información Universitaria
