
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,5276.0,2125.0,2509.0,127.0,248.0,267.0,
Alcalá,4867.0,1554.0,1608.0,300.0,963.0,442.0,
Alicante,6949.0,3772.0,1685.0,589.0,302.0,601.0,
Almería,3944.0,1977.0,1003.0,260.0,389.0,315.0,
Autónoma de Barcelona,8806.0,3542.0,1259.0,1024.0,1254.0,1727.0,
Autónoma de Madrid,7479.0,3324.0,943.0,989.0,831.0,1392.0,
Barcelona,12053.0,5905.0,684.0,1712.0,1774.0,1978.0,
Burgos,2055.0,929.0,811.0,118.0,143.0,54.0,
Cádiz,6159.0,2634.0,1858.0,414.0,694.0,559.0,
Cantabria,3143.0,1218.0,1338.0,118.0,270.0,199.0,
Carlos III de Madrid,6926.0,3372.0,3525.0,29.0,0.0,0.0,
Castilla-La Mancha,7921.0,3544.0,2486.0,551.0,969.0,371.0,
Complutense de Madrid,17191.0,8110.0,1872.0,2246.0,2559.0,2404.0,
Córdoba,5228.0,1692.0,1520.0,518.0,698.0,800.0,
Extremadura,6208.0,2810.0,1665.0,271.0,907.0,555.0,
Girona,3419.0,1308.0,1028.0,314.0,271.0,498.0,
Granada,13987.0,6153.0,2589.0,1570.0,2006.0,1669.0,
Huelva,2919.0,1434.0,825.0,263.0,242.0,155.0,
Illes Balears (Les),3167.0,1557.0,709.0,259.0,311.0,331.0,
Jaén,4562.0,1983.0,1540.0,323.0,438.0,278.0,
Jaume I de Castellón,3874.0,1840.0,1360.0,220.0,346.0,108.0,
La Laguna,5899.0,2228.0,1624.0,555.0,894.0,598.0,
La Rioja,1293.0,597.0,468.0,80.0,0.0,148.0,
Las Palmas de Gran Canaria,5855.0,2636.0,1968.0,436.0,715.0,100.0,
León,3466.0,1316.0,1221.0,169.0,387.0,373.0,
Lleida,2650.0,998.0,761.0,233.0,543.0,115.0,
Málaga,12204.0,4742.0,4391.0,1107.0,1068.0,896.0,
Miguel Hernández de Elche,3320.0,801.0,967.0,101.0,1232.0,219.0,
Murcia,8318.0,4006.0,718.0,1076.0,1489.0,1029.0,
Oviedo,6391.0,2159.0,2388.0,614.0,529.0,701.0,
Pablo de Olavide,3138.0,2372.0,123.0,311.0,37.0,295.0,
País Vasco/Euskal Herriko Unibertsitatea,13480.0,5268.0,4887.0,996.0,1253.0,1076.0,
Politécnica de Cartagena,2138.0,230.0,1908.0,0.0,0.0,0.0,
Politécnica de Catalunya,10616.0,0.0,10499.0,0.0,75.0,42.0,
Politécnica de Madrid,14594.0,688.0,13906.0,0.0,0.0,0.0,
Politècnica de València,8689.0,828.0,7047.0,489.0,0.0,325.0,
Pompeu Fabra,3302.0,2353.0,477.0,323.0,149.0,0.0,
Pública de Navarra,2912.0,1199.0,1570.0,0.0,143.0,0.0,
