Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,141.0,0.0,0.0,38.0,0.0,
Alcalá,108.0,0.0,0.0,102.0,0.0,
Alicante,9.0,0.0,0.0,0.0,0.0,
Almería,67.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,355.0,357.0,159.0,835.0,0.0,
Autónoma de Madrid,90.0,0.0,0.0,306.0,0.0,
Barcelona,602.0,217.0,304.0,584.0,0.0,
Burgos,42.0,0.0,0.0,0.0,0.0,
Cádiz,79.0,0.0,0.0,69.0,0.0,
Cantabria,37.0,0.0,5.0,181.0,0.0,
Carlos III de Madrid,0.0,131.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,1792.0,0.0,47.0,167.0,0.0,
Córdoba,223.0,0.0,0.0,0.0,0.0,
Extremadura,31.0,60.0,0.0,0.0,0.0,
Girona,566.0,0.0,17.0,693.0,0.0,
Granada,230.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),90.0,0.0,0.0,0.0,0.0,
Jaén,121.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,
La Laguna,98.0,0.0,0.0,49.0,0.0,
La Rioja,0.0,0.0,0.0,37.0,0.0,
Las Palmas de Gran Canaria,58.0,0.0,0.0,0.0,0.0,
León,7.0,0.0,0.0,0.0,0.0,
Lleida,43.0,0.0,0.0,297.0,0.0,
Málaga,160.0,0.0,0.0,51.0,0.0,
Miguel Hernández de Elche,199.0,0.0,0.0,0.0,0.0,
Murcia,214.0,0.0,0.0,50.0,0.0,
Oviedo,113.0,0.0,0.0,58.0,0.0,
Pablo de Olavide,255.0,0.0,0.0,0.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,174.0,157.0,0.0,49.0,0.0,
Politécnica de Cartagena,0.0,158.0,0.0,0.0,0.0,
Politécnica de Catalunya,580.0,431.0,0.0,0.0,0.0,
Politécnica de Madrid,0.0,0.0,15.0,0.0,0.0,
Politècnica de València,0.0,231.0,0.0,0.0,0.0,
Pompeu Fabra,1059.0,523.0,0.0,441.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,1350.0,23.0,212.0,0.0,0.0,
Rovira i Virgili,0.0,61.0,0.0,186.0,0.0,
Salamanca,20.0,107.0,0.0,78.0,0.0,
Santiago de Compostela,85.0,0.0,0.0,39.0,0.0,
Sevilla,655.0,0.0,0.0,278.0,0.0,
València (Estudi General),308.0,0.0,0.0,78.0,0.0,
Valladolid,0.0,69.0,0.0,73.0,0.0,
Vigo,199.0,118.0,0.0,119.0,0.0,
Zaragoza,67.0,995.0,0.0,64.0,0.0,
Universidades Públicas No Presenciales,0.0,0.0,0.0,0.0,0.0,
Nacional de Educación a Distancia,0.0,0.0,0.0,0.0,0.0,
Universidades Privadas,1458.0,94.0,923.0,320.0,0.0,
Universidades Privadas Presenciales,1458.0,94.0,923.0,320.0,0.0,
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,
