Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
,Hombres,Hombres,Hombres,Hombres,Hombres,
A Coruña,2181.0,2259.0,136.0,257.0,251.0,
Alcalá,1564.0,1610.0,320.0,933.0,468.0,
Alicante,3751.0,1756.0,599.0,295.0,644.0,
Almería,2014.0,1034.0,260.0,366.0,357.0,
Autónoma de Barcelona,3483.0,1381.0,1016.0,1169.0,1656.0,
Autónoma de Madrid,3185.0,955.0,989.0,738.0,1407.0,
Barcelona,5720.0,640.0,1581.0,1648.0,1985.0,
Burgos,876.0,763.0,132.0,130.0,47.0,
Cádiz,2287.0,1695.0,427.0,644.0,553.0,
Cantabria,1128.0,1180.0,113.0,252.0,259.0,
Carlos III de Madrid,3548.0,3659.0,18.0,0.0,0.0,
Castilla-La Mancha,3464.0,2470.0,450.0,1039.0,308.0,
Complutense de Madrid,7753.0,1823.0,2199.0,2389.0,2452.0,
Córdoba,1601.0,1394.0,545.0,715.0,762.0,
Extremadura,2575.0,1451.0,210.0,845.0,620.0,
Girona,1296.0,1052.0,294.0,237.0,452.0,
Granada,5720.0,2376.0,1458.0,1981.0,1656.0,
Huelva,1246.0,847.0,258.0,241.0,139.0,
Illes Balears (Les),1464.0,788.0,213.0,315.0,328.0,
Jaén,1809.0,1404.0,290.0,421.0,268.0,
Jaume I de Castellón,1763.0,1364.0,205.0,326.0,96.0,
La Laguna,2130.0,1543.0,566.0,851.0,638.0,
La Rioja,616.0,457.0,87.0,0.0,160.0,
Las Palmas de Gran Canaria,2452.0,1651.0,331.0,666.0,92.0,
León,1232.0,1120.0,166.0,320.0,333.0,
Lleida,980.0,876.0,252.0,490.0,120.0,
Málaga,4503.0,4278.0,992.0,995.0,827.0,
Miguel Hernández de Elche,863.0,895.0,106.0,1186.0,185.0,
Murcia,3773.0,792.0,923.0,1366.0,1059.0,
Oviedo,2030.0,2150.0,571.0,535.0,749.0,
Pablo de Olavide,2351.0,165.0,298.0,57.0,273.0,
País Vasco/Euskal Herriko Unibertsitatea,4998.0,4646.0,977.0,1195.0,1102.0,
Politécnica de Cartagena,221.0,1797.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,10269.0,0.0,84.0,76.0,
Politécnica de Madrid,687.0,13490.0,0.0,0.0,29.0,
Politècnica de València,1026.0,7397.0,496.0,0.0,305.0,
Pompeu Fabra,2421.0,570.0,287.0,141.0,0.0,
Pública de Navarra,1231.0,1515.0,0.0,146.0,31.0,
Rey Juan Carlos,7794.0,3149.0,529.0,644.0,314.0,
Rovira i Virgili,1285.0,1089.0,210.0,621.0,278.0,
Salamanca,2246.0,1200.0,1084.0,941.0,948.0,
Santiago de Compostela,2212.0,642.0,700.0,1550.0,990.0,
Sevilla,6135.0,6905.0,1500.0,1911.0,1544.0,
València (Estudi General),5648.0,1010.0,1205.0,2060.0,1363.0,
Valladolid,2814.0,2117.0,419.0,598.0,502.0,
Vigo,2310.0,2619.0,332.0,100.0,477.0,
Zaragoza,3765.0,2576.0,688.0,868.0,999.0,
Universidades Públicas No Presenciales,5092.0,884.0,1687.0,1974.0,842.0,
Nacional de Educación a Distancia,5092.0,884.0,1687.0,1974.0,842.0,
Universidades Privadas,24922.0,7602.0,1632.0,17163.0,866.0,
Universidades Privadas Presenciales,21490.0,7040.0,1258.0,16207.0,866.0,
Abat Oliba CEU,295.0,0.0,0.0,73.0,0.0,
Alfonso X El Sabio,115.0,182.0,103.0,1956.0,2.0,
Antonio de Nebrija,805.0,328.0,41.0,37.0,0.0,
Atlántico Medio,84.0,0.0,3.0,0.0,0.0,
Camilo José Cela,654.0,12.0,27.0,245.0,0.0,
Cardenal Herrera-CEU,651.0,82.0,0.0,1541.0,0.0,
