
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Hombres,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,142.0,106.0,0.0,0.0,36.0,0.0,
Alcalá,341.0,143.0,0.0,0.0,198.0,0.0,
Alicante,13.0,13.0,0.0,0.0,0.0,0.0,
Almería,0.0,0.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,1409.0,310.0,367.0,126.0,606.0,0.0,
Autónoma de Madrid,460.0,135.0,0.0,0.0,325.0,0.0,
Barcelona,1541.0,535.0,188.0,245.0,573.0,0.0,
Burgos,13.0,13.0,0.0,0.0,0.0,0.0,
Cádiz,151.0,95.0,0.0,0.0,56.0,0.0,
Cantabria,266.0,54.0,0.0,9.0,203.0,0.0,
Carlos III de Madrid,259.0,159.0,100.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,2144.0,1926.0,0.0,0.0,218.0,0.0,
Córdoba,204.0,204.0,0.0,0.0,0.0,0.0,
Extremadura,95.0,29.0,66.0,0.0,0.0,0.0,
Girona,1156.0,413.0,0.0,13.0,730.0,0.0,
Granada,233.0,233.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),156.0,128.0,0.0,0.0,28.0,0.0,
Jaén,117.0,117.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,0.0,
La Laguna,135.0,95.0,0.0,0.0,40.0,0.0,
La Rioja,47.0,0.0,0.0,0.0,47.0,0.0,
Las Palmas de Gran Canaria,53.0,53.0,0.0,0.0,0.0,0.0,
León,11.0,11.0,0.0,0.0,0.0,0.0,
Lleida,335.0,39.0,0.0,0.0,296.0,0.0,
Málaga,177.0,140.0,0.0,0.0,37.0,0.0,
Miguel Hernández de Elche,298.0,298.0,0.0,0.0,0.0,0.0,
Murcia,321.0,269.0,0.0,0.0,52.0,0.0,
Oviedo,193.0,126.0,0.0,0.0,67.0,0.0,
Pablo de Olavide,484.0,456.0,0.0,0.0,28.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,337.0,146.0,139.0,0.0,52.0,0.0,
Politécnica de Cartagena,183.0,0.0,183.0,0.0,0.0,0.0,
Politécnica de Catalunya,1091.0,643.0,404.0,44.0,0.0,0.0,
Politécnica de Madrid,17.0,0.0,0.0,17.0,0.0,0.0,
Politècnica de València,343.0,0.0,343.0,0.0,0.0,0.0,
Pompeu Fabra,2309.0,1134.0,550.0,92.0,533.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,1975.0,1663.0,41.0,271.0,0.0,0.0,
Rovira i Virgili,432.0,144.0,94.0,0.0,194.0,0.0,
Salamanca,184.0,16.0,105.0,0.0,63.0,0.0,
Santiago de Compostela,104.0,62.0,0.0,0.0,42.0,0.0,
Sevilla,1029.0,736.0,0.0,0.0,293.0,0.0,
València (Estudi General),372.0,318.0,0.0,0.0,54.0,0.0,
Valladolid,79.0,0.0,0.0,0.0,79.0,0.0,
Vigo,502.0,210.0,166.0,0.0,126.0,0.0,
Zaragoza,1086.0,60.0,960.0,0.0,66.0,0.0,
Universidades Públicas No Presenciales,0.0,0.0,0.0,0.0,0.0,0.0,
Nacional de Educación a Distancia,0.0,0.0,0.0,0.0,0.0,0.0,
Universidades Privadas,3634.0,2203.0,253.0,940.0,238.0,0.0,
Universidades Privadas Presenciales,3634.0,2203.0,253.0,940.0,238.0,0.0,
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,0.0,
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,0.0,
Antonio de Nebrija,220.0,0.0,0.0,0.0,220.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,1118.0,175.0,171.0,772.0,0.0,0.0,
