Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2015-2016,2015-2016,2015-2016,2015-2016,2015-2016,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,543.0,832.0,20.0,39.0,29.0,
Alcalá,300.0,595.0,60.0,88.0,102.0,
Alicante,773.0,644.0,115.0,25.0,104.0,
Almería,380.0,313.0,62.0,43.0,57.0,
Autónoma de Barcelona,718.0,339.0,261.0,150.0,318.0,
Autónoma de Madrid,528.0,245.0,233.0,100.0,316.0,
Barcelona,1632.0,200.0,765.0,321.0,599.0,
Burgos,217.0,401.0,65.0,12.0,9.0,
Cádiz,761.0,953.0,90.0,51.0,141.0,
Cantabria,310.0,508.0,41.0,17.0,53.0,
Carlos III de Madrid,604.0,821.0,31.0,0.0,0.0,
Castilla-La Mancha,908.0,958.0,147.0,74.0,84.0,
Complutense de Madrid,1528.0,371.0,468.0,295.0,493.0,
Córdoba,391.0,558.0,98.0,60.0,82.0,
Extremadura,941.0,894.0,58.0,98.0,148.0,
Girona,357.0,456.0,92.0,23.0,100.0,
Granada,1143.0,811.0,459.0,298.0,274.0,
Huelva,538.0,510.0,58.0,47.0,44.0,
Illes Balears (Les),738.0,382.0,117.0,76.0,91.0,
Jaén,340.0,518.0,52.0,62.0,48.0,
Jaume I de Castellón,448.0,513.0,69.0,31.0,28.0,
La Laguna,512.0,439.0,187.0,85.0,116.0,
La Rioja,78.0,79.0,11.0,0.0,25.0,
Las Palmas de Gran Canaria,731.0,375.0,75.0,45.0,14.0,
León,326.0,1052.0,68.0,45.0,50.0,
Lleida,193.0,216.0,46.0,45.0,13.0,
Málaga,872.0,627.0,171.0,87.0,70.0,
Miguel Hernández de Elche,341.0,493.0,37.0,314.0,56.0,
Murcia,1121.0,251.0,297.0,233.0,231.0,
Oviedo,509.0,658.0,124.0,71.0,113.0,
Pablo de Olavide,428.0,54.0,48.0,5.0,55.0,
País Vasco/Euskal Herriko Unibertsitatea,1339.0,1443.0,177.0,119.0,151.0,
Politécnica de Cartagena,80.0,882.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,4623.0,0.0,36.0,7.0,
Politécnica de Madrid,277.0,3935.0,0.0,0.0,0.0,
Politècnica de València,321.0,2991.0,105.0,0.0,82.0,
Pompeu Fabra,393.0,201.0,81.0,7.0,0.0,
Pública de Navarra,201.0,258.0,0.0,15.0,0.0,
Rey Juan Carlos,2115.0,667.0,32.0,73.0,98.0,
Rovira i Virgili,348.0,336.0,96.0,79.0,57.0,
Salamanca,437.0,462.0,162.0,109.0,131.0,
Santiago de Compostela,525.0,283.0,110.0,149.0,158.0,
Sevilla,1553.0,2191.0,467.0,252.0,250.0,
València (Estudi General),1251.0,290.0,372.0,427.0,359.0,
Valladolid,687.0,649.0,126.0,28.0,88.0,
Vigo,440.0,492.0,59.0,11.0,57.0,
Zaragoza,869.0,579.0,163.0,72.0,129.0,
Universidades Públicas No Presenciales,23302.0,6708.0,11642.0,6748.0,4147.0,
Nacional de Educación a Distancia,23302.0,6708.0,11642.0,6748.0,4147.0,
Universidades Privadas,15643.0,6974.0,1227.0,3550.0,158.0,
Universidades Privadas Presenciales,4870.0,3199.0,192.0,1866.0,158.0,
Abat Oliba CEU,105.0,0.0,0.0,0.0,0.0,
Alfonso X El Sabio,17.0,128.0,6.0,169.0,0.0,
Antonio de Nebrija,256.0,103.0,8.0,0.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,358.0,72.0,7.0,93.0,0.0,
Cardenal Herrera-CEU,125.0,32.0,0.0,109.0,0.0,
Católica de Valencia San Vicente Mártir,243.0,0.0,8.0,325.0,16.0,
Católica San Antonio,742.0,480.0,0.0,223.0,19.0,
Católica Santa Teresa de Jesús de Ávila,305.0,464.0,0.0,14.0,15.0,
Deusto,178.0,67.0,31.0,11.0,0.0,
Europea de Canarias,9.0,9.0,0.0,0.0,0.0,
Europea de Madrid,646.0,560.0,12.0,299.0,6.0,
Europea de Valencia,33.0,3.0,4.0,12.0,0.0,
Europea del Atlántico,3.0,10.0,0.0,7.0,0.0,
Europea Miguel de Cervantes,37.0,22.0,0.0,65.0,1.0,
Fernando Pessoa-Canarias (UFP-C),0.0,0.0,0.0,4.0,0.0,
Francisco de Vitoria,332.0,44.0,7.0,39.0,13.0,
IE Universidad,18.0,1.0,0.0,0.0,0.0,
Internacional de Catalunya,78.0,36.0,4.0,51.0,0.0,
Loyola Andalucía,97.0,7.0,0.0,1.0,0.0,
Mondragón Unibertsitatea,106.0,136.0,0.0,0.0,0.0,
Navarra,89.0,162.0,37.0,30.0,20.0,
Pontificia Comillas,56.0,119.0,24.0,30.0,0.0,
Pontificia de Salamanca,222.0,59.0,18.0,52.0,0.0,
Ramón Llull,356.0,484.0,16.0,118.0,17.0,
San Jorge,15.0,69.0,0.0,68.0,0.0,
San Pablo-CEU,253.0,62.0,4.0,77.0,3.0,
Vic-Central de Catalunya,191.0,70.0,6.0,69.0,48.0,
Universidades Privadas No Presenciales,10773.0,3775.0,1035.0,1684.0,0.0,
A Distancia de Madrid,734.0,401.0,65.0,67.0,0.0,
Internacional de La Rioja,1634.0,180.0,172.0,0.0,0.0,
Internacional Isabel I de Castilla,321.0,54.0,0.0,262.0,0.0,
Internacional Valenciana,59.0,0.0,4.0,10.0,0.0,
Oberta de Catalunya,8025.0,3140.0,794.0,1345.0,0.0,
Notas:,,,,,,
Fuente: Sistema Integrado de Información Universitaria (SIIU). Secretaría General de Universidades,,,,,,
