
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,1318.0,439.0,791.0,13.0,46.0,29.0,
Alcalá,1295.0,368.0,646.0,84.0,107.0,90.0,
Alicante,1901.0,942.0,655.0,141.0,48.0,115.0,
Almería,1168.0,569.0,419.0,52.0,59.0,69.0,
Autónoma de Barcelona,1733.0,709.0,355.0,251.0,139.0,279.0,
Autónoma de Madrid,1311.0,481.0,262.0,229.0,73.0,266.0,
Barcelona,3091.0,1408.0,168.0,701.0,276.0,538.0,
Burgos,830.0,245.0,376.0,182.0,18.0,9.0,
Cádiz,2421.0,824.0,1201.0,127.0,52.0,217.0,
Cantabria,910.0,369.0,449.0,26.0,20.0,46.0,
Carlos III de Madrid,1396.0,581.0,806.0,9.0,0.0,0.0,
Castilla-La Mancha,1854.0,845.0,723.0,146.0,70.0,70.0,
Complutense de Madrid,3250.0,1509.0,387.0,512.0,354.0,488.0,
Córdoba,1132.0,391.0,474.0,103.0,56.0,108.0,
Extremadura,1811.0,842.0,643.0,68.0,83.0,175.0,
Girona,948.0,278.0,450.0,102.0,21.0,97.0,
Granada,4124.0,1700.0,1021.0,573.0,380.0,450.0,
Huelva,1100.0,453.0,481.0,92.0,36.0,38.0,
Illes Balears (Les),1314.0,650.0,385.0,85.0,91.0,103.0,
Jaén,1171.0,425.0,584.0,62.0,52.0,48.0,
Jaume I de Castellón,1157.0,496.0,515.0,62.0,61.0,23.0,
La Laguna,1415.0,532.0,486.0,156.0,95.0,146.0,
La Rioja,224.0,79.0,104.0,7.0,0.0,34.0,
Las Palmas de Gran Canaria,1294.0,695.0,424.0,106.0,52.0,17.0,
León,881.0,307.0,414.0,52.0,33.0,75.0,
Lleida,565.0,200.0,248.0,56.0,51.0,10.0,
Málaga,2694.0,1087.0,1077.0,239.0,111.0,180.0,
Miguel Hernández de Elche,1671.0,581.0,627.0,24.0,368.0,71.0,
Murcia,2052.0,1082.0,262.0,251.0,225.0,232.0,
Oviedo,1762.0,578.0,793.0,186.0,73.0,132.0,
Pablo de Olavide,614.0,464.0,53.0,48.0,6.0,43.0,
País Vasco/Euskal Herriko Unibertsitatea,3178.0,1387.0,1286.0,225.0,115.0,165.0,
Politécnica de Cartagena,907.0,111.0,796.0,0.0,0.0,0.0,
