
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2015-2016,2015-2016,2015-2016,2015-2016,2015-2016,2015-2016,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
A Coruña,5399.0,2777.0,1129.0,303.0,832.0,358.0,
Alcalá,6328.0,2460.0,512.0,693.0,2071.0,592.0,
Alicante,10581.0,6836.0,725.0,1338.0,1010.0,672.0,
Almería,4831.0,3079.0,216.0,402.0,883.0,251.0,
Autónoma de Barcelona,13383.0,5693.0,201.0,2090.0,3697.0,1702.0,
Autónoma de Madrid,10870.0,4386.0,284.0,1975.0,2640.0,1585.0,
Barcelona,20704.0,9556.0,297.0,3129.0,5732.0,1990.0,
Burgos,2910.0,1822.0,273.0,97.0,640.0,78.0,
Cádiz,7809.0,4363.0,526.0,727.0,1599.0,594.0,
Cantabria,3344.0,1957.0,514.0,68.0,715.0,90.0,
Carlos III de Madrid,5357.0,4304.0,1007.0,46.0,0.0,0.0,
Castilla-La Mancha,10345.0,5624.0,739.0,870.0,2593.0,519.0,
Complutense de Madrid,28081.0,13221.0,565.0,4162.0,7846.0,2287.0,
Córdoba,6775.0,3076.0,311.0,970.0,1449.0,969.0,
Extremadura,8278.0,4356.0,558.0,416.0,2316.0,632.0,
Girona,5000.0,2749.0,275.0,362.0,1012.0,602.0,
Granada,20513.0,9743.0,990.0,2976.0,4948.0,1856.0,
Huelva,4463.0,2775.0,196.0,394.0,916.0,182.0,
Illes Balears (Les),4699.0,2975.0,151.0,429.0,785.0,359.0,
Jaén,5734.0,3363.0,324.0,409.0,1265.0,373.0,
Jaume I de Castellón,5476.0,3428.0,411.0,613.0,921.0,103.0,
