Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,238.0,0.0,0.0,215.0,0.0,
Alcalá,465.0,0.0,0.0,212.0,0.0,
Alicante,23.0,0.0,0.0,0.0,0.0,
Almería,308.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,548.0,66.0,393.0,1742.0,0.0,
Autónoma de Madrid,425.0,0.0,0.0,881.0,0.0,
Barcelona,988.0,9.0,213.0,634.0,0.0,
Burgos,85.0,0.0,0.0,0.0,0.0,
Cádiz,279.0,0.0,0.0,215.0,0.0,
Cantabria,108.0,0.0,15.0,329.0,0.0,
Carlos III de Madrid,0.0,18.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,2526.0,0.0,118.0,628.0,0.0,
Córdoba,394.0,0.0,0.0,0.0,0.0,
Extremadura,103.0,10.0,0.0,0.0,0.0,
Girona,1117.0,0.0,46.0,523.0,0.0,
Granada,487.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),184.0,0.0,0.0,0.0,0.0,
Jaén,332.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,
La Laguna,133.0,0.0,0.0,184.0,0.0,
La Rioja,0.0,0.0,0.0,263.0,0.0,
Las Palmas de Gran Canaria,119.0,0.0,0.0,0.0,0.0,
León,26.0,0.0,0.0,0.0,0.0,
Lleida,44.0,0.0,0.0,92.0,0.0,
Málaga,410.0,0.0,0.0,203.0,0.0,
Miguel Hernández de Elche,250.0,0.0,0.0,0.0,0.0,
Murcia,558.0,0.0,0.0,143.0,0.0,
Oviedo,219.0,0.0,0.0,299.0,0.0,
Pablo de Olavide,116.0,0.0,0.0,0.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,131.0,14.0,0.0,260.0,0.0,
Politécnica de Cartagena,0.0,11.0,0.0,0.0,0.0,
Politécnica de Catalunya,296.0,100.0,0.0,0.0,0.0,
Politécnica de Madrid,0.0,0.0,87.0,0.0,0.0,
Politècnica de València,0.0,29.0,0.0,0.0,0.0,
Pompeu Fabra,949.0,489.0,0.0,627.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,939.0,47.0,211.0,0.0,0.0,
Rovira i Virgili,0.0,7.0,0.0,92.0,0.0,
Salamanca,31.0,17.0,0.0,336.0,0.0,
Santiago de Compostela,253.0,0.0,0.0,192.0,0.0,
Sevilla,1264.0,0.0,0.0,709.0,0.0,
València (Estudi General),446.0,0.0,0.0,390.0,0.0,
Valladolid,0.0,28.0,0.0,305.0,0.0,
Vigo,286.0,6.0,0.0,656.0,0.0,
Zaragoza,140.0,145.0,0.0,247.0,0.0,
Universidades Públicas No Presenciales,0.0,0.0,0.0,0.0,0.0,
Nacional de Educación a Distancia,0.0,0.0,0.0,0.0,0.0,
Universidades Privadas,1683.0,12.0,1075.0,585.0,0.0,
Universidades Privadas Presenciales,1683.0,12.0,1075.0,585.0,0.0,
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,
