Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,2017-2018,2017-2018,2017-2018,2017-2018,2017-2018,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,2765.0,1005.0,325.0,889.0,365.0,
Alcalá,2472.0,522.0,774.0,2096.0,680.0,
Alicante,6778.0,726.0,1317.0,1047.0,732.0,
Almería,2980.0,221.0,355.0,962.0,374.0,
Autónoma de Barcelona,5610.0,215.0,1991.0,3685.0,1719.0,
Autónoma de Madrid,4360.0,300.0,2068.0,2676.0,1598.0,
Barcelona,9352.0,310.0,2971.0,5663.0,2068.0,
Burgos,1754.0,218.0,117.0,610.0,95.0,
Cádiz,4192.0,517.0,700.0,1620.0,611.0,
Cantabria,1804.0,437.0,54.0,746.0,109.0,
Carlos III de Madrid,4751.0,1122.0,49.0,0.0,0.0,
Castilla-La Mancha,5459.0,716.0,730.0,2863.0,521.0,
Complutense de Madrid,13075.0,600.0,4222.0,7773.0,2394.0,
Córdoba,2926.0,268.0,1013.0,1510.0,970.0,
Extremadura,4106.0,476.0,350.0,2266.0,728.0,
Girona,2692.0,261.0,333.0,1003.0,638.0,
Granada,9245.0,888.0,2935.0,5011.0,1893.0,
Huelva,2583.0,202.0,371.0,867.0,174.0,
Illes Balears (Les),2805.0,171.0,411.0,895.0,360.0,
Jaén,3348.0,293.0,380.0,1209.0,367.0,
Jaume I de Castellón,3181.0,419.0,562.0,992.0,110.0,
La Laguna,4058.0,392.0,1026.0,2339.0,580.0,
La Rioja,1177.0,109.0,130.0,0.0,161.0,
Las Palmas de Gran Canaria,4124.0,722.0,819.0,1583.0,111.0,
León,1710.0,302.0,251.0,1020.0,588.0,
Lleida,1871.0,125.0,358.0,1582.0,198.0,
Málaga,7602.0,1306.0,1859.0,2618.0,893.0,
Miguel Hernández de Elche,927.0,206.0,233.0,1848.0,207.0,
Murcia,6541.0,165.0,1887.0,3577.0,1140.0,
Oviedo,3369.0,754.0,933.0,1453.0,705.0,
Pablo de Olavide,3245.0,20.0,744.0,157.0,320.0,
País Vasco/Euskal Herriko Unibertsitatea,7465.0,1737.0,1878.0,3913.0,1285.0,
Politécnica de Cartagena,143.0,615.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,3446.0,0.0,218.0,11.0,
Politécnica de Madrid,180.0,6315.0,0.0,0.0,14.0,
Politècnica de València,729.0,2672.0,1220.0,0.0,497.0,
Pompeu Fabra,3730.0,228.0,1035.0,402.0,0.0,
Pública de Navarra,2145.0,482.0,0.0,466.0,0.0,
Rey Juan Carlos,12607.0,1295.0,1374.0,1837.0,547.0,
Rovira i Virgili,2848.0,328.0,316.0,1770.0,409.0,
Salamanca,4361.0,360.0,2116.0,2779.0,1042.0,
Santiago de Compostela,3654.0,308.0,1270.0,4043.0,856.0,
Sevilla,9220.0,2650.0,2555.0,4636.0,1346.0,
València (Estudi General),9762.0,240.0,2029.0,5664.0,1362.0,
Valladolid,4753.0,833.0,769.0,1673.0,469.0,
Vigo,3568.0,782.0,972.0,104.0,568.0,
Zaragoza,5934.0,905.0,1041.0,2639.0,1042.0,
Universidades Públicas No Presenciales,6600.0,160.0,1660.0,4856.0,414.0,
Nacional de Educación a Distancia,6600.0,160.0,1660.0,4856.0,414.0,
Universidades Privadas,35042.0,2789.0,1929.0,28691.0,1256.0,
Universidades Privadas Presenciales,29201.0,2724.0,1594.0,27299.0,1256.0,
Abat Oliba CEU,475.0,0.0,0.0,199.0,0.0,
Alfonso X El Sabio,156.0,51.0,100.0,2515.0,1.0,
Antonio de Nebrija,1571.0,113.0,111.0,49.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,2459.0,9.0,20.0,236.0,0.0,
Cardenal Herrera-CEU,999.0,75.0,0.0,3137.0,0.0,
Católica de Valencia San Vicente Mártir,1918.0,0.0,3.0,2644.0,204.0,
Católica San Antonio,1594.0,68.0,45.0,2302.0,43.0,
Católica Santa Teresa de Jesús de Ávila,104.0,22.0,0.0,249.0,6.0,
Deusto,2921.0,138.0,294.0,579.0,0.0,
Europea de Canarias,113.0,13.0,0.0,20.0,0.0,
Europea de Madrid,720.0,182.0,90.0,2197.0,55.0,
Europea de Valencia,138.0,10.0,35.0,511.0,0.0,
Europea del Atlántico,465.0,38.0,70.0,147.0,0.0,
Europea Miguel de Cervantes,200.0,23.0,0.0,319.0,6.0,
Fernando Pessoa-Canarias (UFP-C),10.0,0.0,0.0,204.0,0.0,
Francisco de Vitoria,1031.0,51.0,212.0,1618.0,189.0,
IE Universidad,442.0,74.0,14.0,0.0,0.0,
Internacional de Catalunya,638.0,74.0,22.0,1185.0,0.0,
Loyola Andalucía,879.0,26.0,0.0,312.0,0.0,
Mondragón Unibertsitatea,1109.0,380.0,0.0,0.0,0.0,
Navarra,1770.0,478.0,165.0,1632.0,350.0,
Pontificia Comillas,2317.0,308.0,137.0,797.0,0.0,
Pontificia de Salamanca,922.0,5.0,1.0,1119.0,0.0,
Ramón Llull,3690.0,323.0,102.0,1273.0,115.0,
San Jorge,184.0,29.0,28.0,743.0,0.0,
San Pablo-CEU,1433.0,199.0,53.0,1770.0,103.0,
Vic-Central de Catalunya,943.0,35.0,92.0,1542.0,184.0,
Universidades Privadas No Presenciales,5841.0,65.0,335.0,1392.0,0.0,
A Distancia de Madrid,445.0,13.0,6.0,61.0,0.0,
Internacional de La Rioja,2610.0,8.0,78.0,0.0,0.0,
Internacional Isabel I de Castilla,527.0,3.0,0.0,481.0,0.0,
Internacional Valenciana,506.0,1.0,94.0,92.0,0.0,
Oberta de Catalunya,1753.0,40.0,157.0,758.0,0.0,
Notas:,,,,,,
Fuente: Sistema Integrado de Información Universitaria (SIIU). Secretaría General de Universidades,,,,,,
