
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,2018-2019,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,427.0,210.0,0.0,0.0,217.0,0.0,
Alcalá,830.0,441.0,0.0,0.0,389.0,0.0,
Alicante,13.0,13.0,0.0,0.0,0.0,0.0,
Almería,0.0,0.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,2447.0,478.0,56.0,404.0,1509.0,0.0,
Autónoma de Madrid,1354.0,454.0,0.0,0.0,900.0,0.0,
Barcelona,2006.0,1036.0,7.0,279.0,684.0,0.0,
Burgos,41.0,41.0,0.0,0.0,0.0,0.0,
Cádiz,474.0,262.0,0.0,0.0,212.0,0.0,
Cantabria,431.0,100.0,0.0,19.0,312.0,0.0,
Carlos III de Madrid,22.0,2.0,20.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,3162.0,2424.0,0.0,0.0,738.0,0.0,
Córdoba,422.0,422.0,0.0,0.0,0.0,0.0,
Extremadura,107.0,94.0,13.0,0.0,0.0,0.0,
Girona,1542.0,929.0,0.0,74.0,539.0,0.0,
Granada,465.0,465.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),246.0,206.0,0.0,0.0,40.0,0.0,
Jaén,312.0,312.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,0.0,
La Laguna,323.0,135.0,0.0,0.0,188.0,0.0,
La Rioja,257.0,0.0,0.0,0.0,257.0,0.0,
Las Palmas de Gran Canaria,103.0,103.0,0.0,0.0,0.0,0.0,
León,30.0,30.0,0.0,0.0,0.0,0.0,
Lleida,172.0,79.0,0.0,0.0,93.0,0.0,
Málaga,538.0,343.0,0.0,0.0,195.0,0.0,
Miguel Hernández de Elche,306.0,306.0,0.0,0.0,0.0,0.0,
Murcia,676.0,527.0,0.0,0.0,149.0,0.0,
Oviedo,558.0,257.0,0.0,0.0,301.0,0.0,
Pablo de Olavide,219.0,219.0,0.0,0.0,0.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,417.0,137.0,18.0,0.0,262.0,0.0,
Politécnica de Cartagena,13.0,0.0,13.0,0.0,0.0,0.0,
Politécnica de Catalunya,452.0,355.0,59.0,38.0,0.0,0.0,
Politécnica de Madrid,97.0,0.0,0.0,97.0,0.0,0.0,
Politècnica de València,43.0,0.0,43.0,0.0,0.0,0.0,
Pompeu Fabra,2300.0,1131.0,406.0,120.0,643.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,1422.0,1060.0,46.0,316.0,0.0,0.0,
Rovira i Virgili,180.0,69.0,13.0,0.0,98.0,0.0,
Salamanca,393.0,31.0,15.0,0.0,347.0,0.0,
Santiago de Compostela,437.0,271.0,0.0,0.0,166.0,0.0,
Sevilla,1996.0,1257.0,0.0,0.0,739.0,0.0,
València (Estudi General),812.0,474.0,0.0,0.0,338.0,0.0,
