
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2015-2016,2015-2016,2015-2016,2015-2016,2015-2016,2015-2016,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,1172.0,620.0,347.0,57.0,98.0,50.0,
Alcalá,1001.0,420.0,170.0,112.0,132.0,167.0,
Alicante,1905.0,1180.0,266.0,213.0,120.0,126.0,
Almería,836.0,506.0,101.0,71.0,101.0,57.0,
Autónoma de Barcelona,2279.0,1008.0,56.0,514.0,402.0,299.0,
Autónoma de Madrid,1517.0,515.0,60.0,356.0,278.0,308.0,
Barcelona,5102.0,2276.0,56.0,1214.0,989.0,567.0,
Burgos,628.0,316.0,186.0,57.0,50.0,19.0,
Cádiz,1501.0,954.0,186.0,140.0,94.0,127.0,
Cantabria,811.0,545.0,167.0,24.0,56.0,19.0,
Carlos III de Madrid,1019.0,762.0,229.0,28.0,0.0,0.0,
Castilla-La Mancha,2344.0,1474.0,311.0,234.0,216.0,109.0,
Complutense de Madrid,4593.0,2192.0,124.0,841.0,933.0,503.0,
Córdoba,993.0,555.0,92.0,165.0,82.0,99.0,
Extremadura,2102.0,1294.0,297.0,93.0,202.0,216.0,
Girona,887.0,505.0,91.0,118.0,60.0,113.0,
Granada,4182.0,1892.0,381.0,875.0,712.0,322.0,
Huelva,1233.0,889.0,128.0,66.0,106.0,44.0,
Illes Balears (Les),1878.0,1290.0,77.0,198.0,202.0,111.0,
Jaén,892.0,524.0,94.0,56.0,166.0,52.0,
Jaume I de Castellón,1244.0,788.0,194.0,128.0,97.0,37.0,
La Laguna,1529.0,862.0,174.0,229.0,165.0,99.0,
La Rioja,217.0,150.0,20.0,27.0,0.0,20.0,
