
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2015-2016,2015-2016,2015-2016,2015-2016,2015-2016,2015-2016,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,100.0,68.0,0.0,0.0,32.0,0.0,
Alcalá,146.0,144.0,0.0,0.0,2.0,0.0,
Alicante,14.0,14.0,0.0,0.0,0.0,0.0,
Almería,54.0,54.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,557.0,134.0,20.0,83.0,320.0,0.0,
Autónoma de Madrid,221.0,144.0,0.0,0.0,77.0,0.0,
Barcelona,194.0,79.0,1.0,31.0,83.0,0.0,
Burgos,31.0,31.0,0.0,0.0,0.0,0.0,
Cádiz,31.0,28.0,0.0,0.0,3.0,0.0,
Cantabria,59.0,44.0,0.0,0.0,15.0,0.0,
Carlos III de Madrid,0.0,0.0,0.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,407.0,313.0,0.0,69.0,25.0,0.0,
Córdoba,59.0,59.0,0.0,0.0,0.0,0.0,
Extremadura,43.0,37.0,6.0,0.0,0.0,0.0,
Girona,213.0,183.0,0.0,0.0,30.0,0.0,
Granada,77.0,77.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),92.0,92.0,0.0,0.0,0.0,0.0,
Jaén,53.0,53.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,0.0,
La Laguna,17.0,14.0,0.0,0.0,3.0,0.0,
La Rioja,13.0,0.0,0.0,0.0,13.0,0.0,
Las Palmas de Gran Canaria,40.0,40.0,0.0,0.0,0.0,0.0,
León,13.0,13.0,0.0,0.0,0.0,0.0,
Lleida,34.0,16.0,0.0,0.0,18.0,0.0,
Málaga,40.0,6.0,0.0,0.0,34.0,0.0,
Miguel Hernández de Elche,22.0,22.0,0.0,0.0,0.0,0.0,
Murcia,174.0,162.0,0.0,0.0,12.0,0.0,
Oviedo,126.0,68.0,0.0,0.0,58.0,0.0,
Pablo de Olavide,4.0,4.0,0.0,0.0,0.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,31.0,21.0,2.0,0.0,8.0,0.0,
Politécnica de Cartagena,7.0,0.0,7.0,0.0,0.0,0.0,
Politécnica de Catalunya,327.0,136.0,191.0,0.0,0.0,0.0,
Politécnica de Madrid,1.0,0.0,0.0,1.0,0.0,0.0,
Politècnica de València,11.0,0.0,11.0,0.0,0.0,0.0,
Pompeu Fabra,179.0,64.0,76.0,0.0,39.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,69.0,63.0,0.0,6.0,0.0,0.0,
Rovira i Virgili,7.0,0.0,4.0,0.0,3.0,0.0,
Salamanca,42.0,27.0,1.0,0.0,14.0,0.0,
Santiago de Compostela,124.0,91.0,0.0,0.0,33.0,0.0,
Sevilla,222.0,194.0,0.0,0.0,28.0,0.0,
València (Estudi General),229.0,194.0,0.0,0.0,35.0,0.0,
Valladolid,55.0,0.0,22.0,0.0,33.0,0.0,
Vigo,76.0,33.0,4.0,0.0,39.0,0.0,
Zaragoza,107.0,27.0,67.0,0.0,13.0,0.0,
Universidades Públicas No Presenciales,0.0,0.0,0.0,0.0,0.0,0.0,
Nacional de Educación a Distancia,0.0,0.0,0.0,0.0,0.0,0.0,
Universidades Privadas,448.0,119.0,6.0,267.0,56.0,0.0,
Universidades Privadas Presenciales,448.0,119.0,6.0,267.0,56.0,0.0,
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,0.0,
Alfonso X El Sabio,0.0,0.0,0.0,0.0,0.0,0.0,
Antonio de Nebrija,31.0,0.0,0.0,0.0,31.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,37.0,0.0,1.0,36.0,0.0,0.0,
Cardenal Herrera-CEU,0.0,0.0,0.0,0.0,0.0,0.0,
Católica de Valencia San Vicente Mártir,0.0,0.0,0.0,0.0,0.0,0.0,
Católica San Antonio,0.0,0.0,0.0,0.0,0.0,0.0,
Católica Santa Teresa de Jesús de Ávila,60.0,60.0,0.0,0.0,0.0,0.0,
Deusto,29.0,29.0,0.0,0.0,0.0,0.0,
Europea de Canarias,0.0,0.0,0.0,0.0,0.0,0.0,
Europea de Madrid,43.0,8.0,5.0,5.0,25.0,0.0,
Europea de Valencia,0.0,0.0,0.0,0.0,0.0,0.0,
Europea del Atlántico,0.0,0.0,0.0,0.0,0.0,0.0,
Europea Miguel de Cervantes,0.0,0.0,0.0,0.0,0.0,0.0,
Fernando Pessoa-Canarias (UFP-C),0.0,0.0,0.0,0.0,0.0,0.0,
Francisco de Vitoria,0.0,0.0,0.0,0.0,0.0,0.0,
IE Universidad,7.0,7.0,0.0,0.0,0.0,0.0,
Internacional de Catalunya,0.0,0.0,0.0,0.0,0.0,0.0,
Loyola Andalucía,0.0,0.0,0.0,0.0,0.0,0.0,
Mondragón Unibertsitatea,4.0,4.0,0.0,0.0,0.0,0.0,
Navarra,0.0,0.0,0.0,0.0,0.0,0.0,
Pontificia Comillas,6.0,6.0,0.0,0.0,0.0,0.0,
Pontificia de Salamanca,0.0,0.0,0.0,0.0,0.0,0.0,
Ramón Llull,118.0,0.0,0.0,118.0,0.0,0.0,
San Jorge,0.0,0.0,0.0,0.0,0.0,0.0,
San Pablo-CEU,4.0,4.0,0.0,0.0,0.0,0.0,
Vic-Central de Catalunya,109.0,1.0,0.0,108.0,0.0,0.0,
Universidades Privadas No Presenciales,0.0,0.0,0.0,0.0,0.0,0.0,
A Distancia de Madrid,0.0,0.0,0.0,0.0,0.0,0.0,
Internacional de La Rioja,0.0,0.0,0.0,0.0,0.0,0.0,
Internacional Isabel I de Castilla,0.0,0.0,0.0,0.0,0.0,0.0,
Internacional Valenciana,0.0,0.0,0.0,0.0,0.0,0.0,
Oberta de Catalunya,0.0,0.0,0.0,0.0,0.0,0.0,
Notas:
Fuente: Sistema Integrado de Información Universitaria (SIIU). Secretaría General de Universidades
