Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,
,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,Centro adscrito,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,83.0,0.0,0.0,14.0,0.0,
Alcalá,151.0,0.0,0.0,8.0,0.0,
Alicante,18.0,0.0,0.0,0.0,0.0,
Almería,43.0,0.0,0.0,0.0,0.0,
Autónoma de Barcelona,92.0,14.0,111.0,284.0,0.0,
Autónoma de Madrid,164.0,0.0,0.0,61.0,0.0,
Barcelona,89.0,0.0,63.0,82.0,0.0,
Burgos,29.0,0.0,0.0,0.0,0.0,
Cádiz,36.0,0.0,0.0,1.0,0.0,
Cantabria,41.0,0.0,1.0,25.0,0.0,
Carlos III de Madrid,0.0,0.0,0.0,0.0,0.0,
Castilla-La Mancha,0.0,0.0,0.0,0.0,0.0,
Complutense de Madrid,324.0,0.0,59.0,27.0,0.0,
Córdoba,40.0,0.0,0.0,0.0,0.0,
Extremadura,36.0,7.0,0.0,0.0,0.0,
Girona,210.0,0.0,0.0,25.0,0.0,
Granada,93.0,0.0,0.0,0.0,0.0,
Huelva,0.0,0.0,0.0,0.0,0.0,
Illes Balears (Les),90.0,0.0,0.0,0.0,0.0,
Jaén,72.0,0.0,0.0,0.0,0.0,
Jaume I de Castellón,0.0,0.0,0.0,0.0,0.0,
La Laguna,17.0,0.0,0.0,6.0,0.0,
La Rioja,0.0,0.0,0.0,4.0,0.0,
Las Palmas de Gran Canaria,58.0,0.0,0.0,0.0,0.0,
León,11.0,0.0,0.0,0.0,0.0,
Lleida,20.0,0.0,0.0,12.0,0.0,
Málaga,15.0,0.0,0.0,20.0,0.0,
Miguel Hernández de Elche,28.0,0.0,0.0,0.0,0.0,
Murcia,176.0,0.0,0.0,17.0,0.0,
Oviedo,59.0,0.0,0.0,63.0,0.0,
Pablo de Olavide,3.0,0.0,0.0,0.0,0.0,
País Vasco/Euskal Herriko Unibertsitatea,28.0,2.0,0.0,21.0,0.0,
Politécnica de Cartagena,0.0,11.0,0.0,0.0,0.0,
Politécnica de Catalunya,150.0,46.0,0.0,0.0,0.0,
Politécnica de Madrid,0.0,0.0,1.0,0.0,0.0,
Politècnica de València,0.0,18.0,0.0,0.0,0.0,
Pompeu Fabra,80.0,121.0,0.0,49.0,0.0,
Pública de Navarra,0.0,0.0,0.0,0.0,0.0,
Rey Juan Carlos,77.0,0.0,8.0,0.0,0.0,
Rovira i Virgili,0.0,2.0,0.0,2.0,0.0,
Salamanca,23.0,3.0,0.0,10.0,0.0,
Santiago de Compostela,72.0,0.0,0.0,20.0,0.0,
Sevilla,226.0,0.0,0.0,43.0,0.0,
València (Estudi General),184.0,0.0,0.0,31.0,0.0,
Valladolid,0.0,20.0,0.0,29.0,0.0,
Vigo,20.0,6.0,0.0,51.0,0.0,
Zaragoza,30.0,85.0,0.0,15.0,0.0,
Universidades Públicas No Presenciales,0.0,0.0,0.0,0.0,0.0,
Nacional de Educación a Distancia,0.0,0.0,0.0,0.0,0.0,
Universidades Privadas,166.0,10.0,259.0,47.0,0.0,
Universidades Privadas Presenciales,166.0,10.0,259.0,47.0,0.0,
Abat Oliba CEU,0.0,0.0,0.0,0.0,0.0,
