
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Total,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2017-2018,2017-2018,2017-2018,2017-2018,2017-2018,2017-2018,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,1117.0,551.0,385.0,72.0,76.0,33.0,
Alcalá,1052.0,459.0,159.0,134.0,159.0,141.0,
Alicante,2303.0,1485.0,311.0,259.0,99.0,149.0,
Almería,970.0,614.0,93.0,91.0,118.0,54.0,
Autónoma de Barcelona,2171.0,938.0,54.0,505.0,422.0,252.0,
Autónoma de Madrid,1489.0,482.0,61.0,345.0,265.0,336.0,
Barcelona,4892.0,2183.0,67.0,1220.0,947.0,475.0,
Burgos,714.0,356.0,127.0,141.0,70.0,20.0,
Cádiz,2049.0,1235.0,292.0,253.0,88.0,181.0,
Cantabria,747.0,524.0,133.0,19.0,48.0,23.0,
Carlos III de Madrid,898.0,687.0,187.0,24.0,0.0,0.0,
Castilla-La Mancha,2138.0,1343.0,256.0,218.0,222.0,99.0,
Complutense de Madrid,4500.0,2152.0,147.0,866.0,889.0,446.0,
Córdoba,1366.0,755.0,113.0,204.0,143.0,151.0,
Extremadura,1931.0,1185.0,258.0,89.0,167.0,232.0,
Girona,925.0,506.0,80.0,126.0,64.0,149.0,
Granada,5154.0,2346.0,416.0,1063.0,877.0,452.0,
Huelva,1332.0,932.0,124.0,98.0,118.0,60.0,
Illes Balears (Les),1830.0,1218.0,81.0,194.0,225.0,112.0,
Jaén,1134.0,683.0,135.0,97.0,156.0,63.0,
Jaume I de Castellón,1323.0,869.0,165.0,144.0,113.0,32.0,
La Laguna,1393.0,716.0,157.0,232.0,177.0,111.0,
La Rioja,202.0,146.0,25.0,14.0,0.0,17.0,
Las Palmas de Gran Canaria,1660.0,1133.0,212.0,187.0,109.0,19.0,
León,915.0,424.0,192.0,106.0,78.0,115.0,
Lleida,526.0,314.0,55.0,51.0,83.0,23.0,
Málaga,2404.0,1340.0,286.0,388.0,219.0,171.0,
Miguel Hernández de Elche,1154.0,506.0,118.0,52.0,397.0,81.0,
Murcia,2913.0,1591.0,52.0,474.0,529.0,267.0,
Oviedo,1862.0,902.0,353.0,284.0,186.0,137.0,
Pablo de Olavide,680.0,477.0,8.0,119.0,23.0,53.0,
País Vasco/Euskal Herriko Unibertsitatea,2914.0,1644.0,468.0,359.0,268.0,175.0,
Politécnica de Cartagena,456.0,116.0,340.0,0.0,0.0,0.0,
Politécnica de Catalunya,1644.0,0.0,1575.0,0.0,66.0,3.0,
Politécnica de Madrid,1944.0,38.0,1904.0,0.0,0.0,2.0,
Politècnica de València,1922.0,353.0,1128.0,309.0,0.0,132.0,
Pompeu Fabra,843.0,559.0,47.0,213.0,24.0,0.0,
Pública de Navarra,473.0,339.0,97.0,0.0,37.0,0.0,
Rey Juan Carlos,5240.0,4350.0,405.0,194.0,158.0,133.0,
Rovira i Virgili,967.0,512.0,132.0,143.0,135.0,45.0,
Salamanca,1532.0,621.0,176.0,305.0,290.0,140.0,
Santiago de Compostela,1828.0,820.0,118.0,258.0,439.0,193.0,
Sevilla,5003.0,2412.0,950.0,786.0,540.0,315.0,
València (Estudi General),3560.0,1802.0,94.0,569.0,743.0,352.0,
Valladolid,1640.0,972.0,302.0,184.0,101.0,81.0,
Vigo,1331.0,811.0,253.0,167.0,12.0,88.0,
Zaragoza,2158.0,1371.0,158.0,325.0,173.0,131.0,
Universidades Públicas No Presenciales,56357.0,25766.0,823.0,12405.0,15142.0,2221.0,
Nacional de Educación a Distancia,56357.0,25766.0,823.0,12405.0,15142.0,2221.0,
Universidades Privadas,37672.0,24903.0,1687.0,2683.0,8150.0,249.0,
Universidades Privadas Presenciales,11748.0,7049.0,1122.0,675.0,2653.0,249.0,
Abat Oliba CEU,148.0,120.0,0.0,0.0,28.0,0.0,
Alfonso X El Sabio,198.0,17.0,48.0,15.0,118.0,0.0,
Antonio de Nebrija,248.0,186.0,34.0,26.0,2.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,1319.0,1271.0,14.0,7.0,27.0,0.0,
Cardenal Herrera-CEU,486.0,242.0,36.0,0.0,208.0,0.0,
Católica de Valencia San Vicente Mártir,697.0,371.0,0.0,8.0,298.0,20.0,
Católica San Antonio,1637.0,1120.0,88.0,4.0,359.0,66.0,
Católica Santa Teresa de Jesús de Ávila,443.0,235.0,128.0,0.0,62.0,18.0,
Deusto,298.0,223.0,19.0,44.0,12.0,0.0,
Europea de Canarias,21.0,14.0,4.0,0.0,3.0,0.0,
Europea de Madrid,878.0,479.0,147.0,29.0,216.0,7.0,
Europea de Valencia,121.0,67.0,8.0,8.0,38.0,0.0,
Europea del Atlántico,47.0,24.0,4.0,4.0,15.0,0.0,
Europea Miguel de Cervantes,284.0,167.0,18.0,0.0,95.0,4.0,
Fernando Pessoa-Canarias (UFP-C),31.0,0.0,0.0,0.0,31.0,0.0,
Francisco de Vitoria,761.0,537.0,13.0,60.0,128.0,23.0,
IE Universidad,25.0,21.0,4.0,0.0,0.0,0.0,
Internacional de Catalunya,158.0,85.0,18.0,9.0,46.0,0.0,
Loyola Andalucía,115.0,102.0,2.0,0.0,11.0,0.0,
Mondragón Unibertsitatea,171.0,131.0,40.0,0.0,0.0,0.0,
Navarra,351.0,132.0,114.0,23.0,65.0,17.0,
Pontificia Comillas,185.0,65.0,39.0,40.0,41.0,0.0,
Pontificia de Salamanca,517.0,360.0,12.0,1.0,144.0,0.0,
Ramón Llull,941.0,542.0,174.0,6.0,202.0,17.0,
San Jorge,122.0,30.0,16.0,4.0,72.0,0.0,
San Pablo-CEU,644.0,304.0,122.0,10.0,201.0,7.0,
Vic-Central de Catalunya,902.0,204.0,20.0,377.0,231.0,70.0,
Universidades Privadas No Presenciales,25924.0,17854.0,565.0,2008.0,5497.0,0.0,
A Distancia de Madrid,1507.0,1208.0,72.0,34.0,193.0,0.0,
Internacional de La Rioja,4971.0,4769.0,43.0,159.0,0.0,0.0,
Internacional Isabel I de Castilla,2064.0,1598.0,10.0,0.0,456.0,0.0,
Internacional Valenciana,420.0,281.0,1.0,76.0,62.0,0.0,
Oberta de Catalunya,16962.0,9998.0,439.0,1739.0,4786.0,0.0,
Notas:
Fuente: Sistema Integrado de Información Universitaria (SIIU). Secretaría General de Universidades
