Unnamed: 0,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,Unnamed: 7
,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,638.0,347.0,61.0,86.0,73.0,
Alcalá,487.0,186.0,125.0,164.0,154.0,
Alicante,1390.0,257.0,254.0,98.0,161.0,
Almería,684.0,97.0,90.0,126.0,81.0,
Autónoma de Barcelona,975.0,56.0,484.0,472.0,260.0,
Autónoma de Madrid,518.0,75.0,360.0,262.0,342.0,
Barcelona,2009.0,60.0,1126.0,822.0,481.0,
Burgos,354.0,101.0,217.0,59.0,23.0,
Cádiz,1272.0,328.0,244.0,111.0,213.0,
Cantabria,505.0,135.0,18.0,41.0,26.0,
Carlos III de Madrid,669.0,224.0,21.0,0.0,0.0,
Castilla-La Mancha,1201.0,225.0,185.0,213.0,89.0,
Complutense de Madrid,2151.0,149.0,938.0,861.0,458.0,
Córdoba,656.0,107.0,133.0,122.0,147.0,
Extremadura,1077.0,240.0,87.0,176.0,244.0,
Girona,476.0,82.0,98.0,79.0,153.0,
Granada,2412.0,380.0,1120.0,928.0,521.0,
Huelva,744.0,123.0,125.0,109.0,55.0,
Illes Balears (Les),1137.0,63.0,171.0,206.0,112.0,
Jaén,630.0,125.0,72.0,104.0,66.0,
Jaume I de Castellón,858.0,169.0,120.0,125.0,37.0,
La Laguna,796.0,120.0,261.0,200.0,124.0,
La Rioja,158.0,31.0,13.0,0.0,35.0,
Las Palmas de Gran Canaria,1069.0,207.0,220.0,79.0,21.0,
León,432.0,120.0,75.0,85.0,101.0,
Lleida,332.0,52.0,69.0,97.0,26.0,
Málaga,1419.0,335.0,448.0,245.0,195.0,
Miguel Hernández de Elche,557.0,140.0,64.0,428.0,70.0,
Murcia,1584.0,55.0,430.0,466.0,246.0,
Oviedo,916.0,295.0,277.0,159.0,147.0,
Pablo de Olavide,497.0,7.0,139.0,20.0,54.0,
País Vasco/Euskal Herriko Unibertsitatea,1643.0,457.0,346.0,303.0,177.0,
Politécnica de Cartagena,104.0,304.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,1491.0,0.0,64.0,0.0,
Politécnica de Madrid,49.0,1983.0,0.0,0.0,8.0,
Politècnica de València,236.0,813.0,235.0,0.0,69.0,
Pompeu Fabra,668.0,61.0,215.0,32.0,0.0,
Pública de Navarra,269.0,70.0,1.0,29.0,2.0,
Rey Juan Carlos,4824.0,471.0,391.0,193.0,165.0,
Rovira i Virgili,518.0,114.0,180.0,155.0,58.0,
Salamanca,626.0,146.0,337.0,283.0,165.0,
Santiago de Compostela,729.0,99.0,259.0,399.0,195.0,
Sevilla,2502.0,991.0,923.0,607.0,331.0,
València (Estudi General),1558.0,110.0,543.0,753.0,350.0,
Valladolid,898.0,228.0,162.0,91.0,88.0,
Vigo,812.0,247.0,176.0,9.0,101.0,
Zaragoza,1230.0,180.0,316.0,180.0,169.0,
Universidades Públicas No Presenciales,24506.0,806.0,12301.0,15267.0,2473.0,
Nacional de Educación a Distancia,24506.0,806.0,12301.0,15267.0,2473.0,
Universidades Privadas,26967.0,1850.0,3027.0,10059.0,295.0,
Universidades Privadas Presenciales,8308.0,1032.0,335.0,3546.0,295.0,
Abat Oliba CEU,290.0,0.0,0.0,52.0,0.0,
Alfonso X El Sabio,25.0,58.0,24.0,173.0,0.0,
Antonio de Nebrija,283.0,50.0,24.0,8.0,0.0,
Atlántico Medio,10.0,0.0,0.0,0.0,0.0,
Camilo José Cela,1646.0,7.0,5.0,49.0,0.0,
Cardenal Herrera-CEU,214.0,37.0,0.0,235.0,0.0,
Católica de Valencia San Vicente Mártir,354.0,0.0,7.0,352.0,27.0,
Católica San Antonio,1342.0,79.0,10.0,422.0,103.0,
Católica Santa Teresa de Jesús de Ávila,350.0,139.0,0.0,119.0,15.0,
