
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2017-2018,2017-2018,2017-2018,2017-2018,2017-2018,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,2157.0,2364.0,125.0,252.0,277.0,
Alcalá,1559.0,1621.0,301.0,926.0,474.0,
Alicante,3670.0,1683.0,574.0,291.0,605.0,
Almería,1980.0,1040.0,257.0,380.0,355.0,
Autónoma de Barcelona,3455.0,1289.0,995.0,1206.0,1664.0,
Autónoma de Madrid,3289.0,923.0,1028.0,780.0,1368.0,
Barcelona,5720.0,643.0,1605.0,1699.0,1988.0,
Burgos,932.0,766.0,125.0,136.0,46.0,
Cádiz,2462.0,1823.0,434.0,647.0,563.0,
Cantabria,1191.0,1269.0,117.0,263.0,231.0,
Carlos III de Madrid,3457.0,3588.0,19.0,0.0,0.0,
Castilla-La Mancha,3449.0,2485.0,490.0,994.0,341.0,
Complutense de Madrid,7976.0,1797.0,2235.0,2451.0,2388.0,
Córdoba,1666.0,1446.0,551.0,708.0,767.0,
Extremadura,2689.0,1553.0,233.0,885.0,610.0,
Girona,1266.0,983.0,282.0,248.0,489.0,
Granada,5906.0,2486.0,1513.0,1945.0,1698.0,
Huelva,1328.0,825.0,256.0,242.0,149.0,
Illes Balears (Les),1515.0,750.0,233.0,299.0,336.0,
Jaén,1909.0,1476.0,322.0,433.0,267.0,
Jaume I de Castellón,1835.0,1377.0,219.0,335.0,97.0,
La Laguna,2206.0,1570.0,552.0,871.0,627.0,
La Rioja,616.0,469.0,85.0,0.0,150.0,
Las Palmas de Gran Canaria,2566.0,1799.0,367.0,714.0,98.0,
León,1271.0,1098.0,153.0,343.0,373.0,
Lleida,995.0,807.0,234.0,527.0,109.0,
Málaga,4728.0,4411.0,1067.0,1036.0,879.0,
Miguel Hernández de Elche,806.0,903.0,98.0,1228.0,195.0,
Murcia,3862.0,742.0,993.0,1401.0,1021.0,
Oviedo,2138.0,2298.0,588.0,541.0,743.0,
Pablo de Olavide,2368.0,147.0,312.0,47.0,270.0,
País Vasco/Euskal Herriko Unibertsitatea,5166.0,4750.0,965.0,1182.0,1086.0,
Politécnica de Cartagena,214.0,1817.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,10350.0,0.0,84.0,64.0,
Politécnica de Madrid,659.0,13718.0,0.0,0.0,18.0,
Politècnica de València,869.0,6911.0,494.0,0.0,298.0,
Pompeu Fabra,2468.0,526.0,282.0,143.0,0.0,
Pública de Navarra,1191.0,1554.0,0.0,137.0,0.0,
Rey Juan Carlos,7765.0,2862.0,461.0,720.0,333.0,
Rovira i Virgili,1335.0,994.0,208.0,611.0,291.0,
Salamanca,2306.0,1302.0,1076.0,962.0,969.0,
Santiago de Compostela,2227.0,630.0,733.0,1590.0,945.0,
Sevilla,6269.0,7046.0,1510.0,1953.0,1499.0,
València (Estudi General),5692.0,924.0,1189.0,2146.0,1341.0,
Valladolid,2967.0,2179.0,465.0,598.0,487.0,
Vigo,2330.0,2723.0,338.0,96.0,474.0,
Zaragoza,3727.0,2594.0,710.0,917.0,942.0,
Universidades Públicas No Presenciales,5226.0,853.0,1615.0,2118.0,748.0,
Nacional de Educación a Distancia,5226.0,853.0,1615.0,2118.0,748.0,
Universidades Privadas,24257.0,7099.0,1393.0,16682.0,881.0,
Universidades Privadas Presenciales,20903.0,6612.0,1133.0,15769.0,881.0,
Abat Oliba CEU,304.0,0.0,0.0,50.0,0.0,
Alfonso X El Sabio,135.0,214.0,103.0,2061.0,3.0,
Antonio de Nebrija,829.0,294.0,38.0,22.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,665.0,28.0,28.0,270.0,0.0,
Cardenal Herrera-CEU,589.0,75.0,0.0,1480.0,0.0,
Católica de Valencia San Vicente Mártir,1003.0,0.0,11.0,1723.0,172.0,
Católica San Antonio,1509.0,297.0,14.0,1444.0,28.0,
Católica Santa Teresa de Jesús de Ávila,111.0,165.0,0.0,118.0,4.0,
Deusto,2033.0,467.0,133.0,96.0,0.0,
Europea de Canarias,113.0,19.0,0.0,37.0,0.0,
Europea de Madrid,1110.0,603.0,93.0,1574.0,45.0,
Europea de Valencia,169.0,11.0,15.0,466.0,0.0,
Europea del Atlántico,243.0,129.0,23.0,433.0,0.0,
Europea Miguel de Cervantes,206.0,90.0,0.0,437.0,7.0,
Fernando Pessoa-Canarias (UFP-C),9.0,0.0,0.0,98.0,0.0,
Francisco de Vitoria,1202.0,224.0,63.0,632.0,95.0,
IE Universidad,411.0,42.0,5.0,0.0,0.0,
Internacional de Catalunya,415.0,48.0,15.0,641.0,0.0,
Loyola Andalucía,652.0,117.0,0.0,97.0,0.0,
Mondragón Unibertsitatea,892.0,831.0,0.0,0.0,0.0,
Navarra,1229.0,720.0,269.0,671.0,234.0,
Pontificia Comillas,1477.0,824.0,127.0,221.0,0.0,
Pontificia de Salamanca,791.0,99.0,0.0,318.0,0.0,
Ramón Llull,2871.0,830.0,126.0,568.0,105.0,
San Jorge,115.0,143.0,4.0,649.0,0.0,
San Pablo-CEU,1103.0,196.0,34.0,784.0,41.0,
Vic-Central de Catalunya,717.0,146.0,32.0,879.0,147.0,
Universidades Privadas No Presenciales,3354.0,487.0,260.0,913.0,0.0,
A Distancia de Madrid,236.0,74.0,11.0,25.0,0.0,
Internacional de La Rioja,1013.0,70.0,93.0,0.0,0.0,
Internacional Isabel I de Castilla,288.0,39.0,0.0,605.0,0.0,
Internacional Valenciana,119.0,10.0,35.0,39.0,0.0,
Oberta de Catalunya,1698.0,294.0,121.0,244.0,0.0,
Notas:
Fuente: Sistema Integrado de Información Universitaria (SIIU). Secretaría General de Universidades
