
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza (solo Grado)
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,2847.0,887.0,330.0,852.0,346.0,
Alcalá,2473.0,549.0,793.0,2097.0,759.0,
Alicante,6849.0,715.0,1189.0,977.0,695.0,
Almería,3000.0,216.0,353.0,925.0,442.0,
Autónoma de Barcelona,5855.0,278.0,2138.0,3693.0,1800.0,
Autónoma de Madrid,4458.0,301.0,2080.0,2573.0,1609.0,
Barcelona,9361.0,337.0,3001.0,5880.0,2179.0,
Burgos,1704.0,228.0,124.0,566.0,87.0,
Cádiz,4078.0,463.0,652.0,1665.0,621.0,
Cantabria,1724.0,389.0,61.0,769.0,156.0,
Carlos III de Madrid,5182.0,1193.0,55.0,0.0,0.0,
Castilla-La Mancha,5547.0,776.0,700.0,3339.0,549.0,
Complutense de Madrid,12791.0,605.0,4140.0,7656.0,2363.0,
Córdoba,2724.0,247.0,1078.0,1628.0,940.0,
Extremadura,4029.0,372.0,318.0,2265.0,710.0,
Girona,2779.0,316.0,371.0,1036.0,592.0,
Granada,9367.0,838.0,2977.0,5065.0,1863.0,
Huelva,2532.0,175.0,308.0,879.0,170.0,
Illes Balears (Les),2818.0,201.0,394.0,1009.0,364.0,
Jaén,3197.0,262.0,341.0,1215.0,349.0,
Jaume I de Castellón,2938.0,464.0,543.0,1084.0,104.0,
La Laguna,3935.0,369.0,1091.0,2222.0,571.0,
La Rioja,1108.0,109.0,135.0,0.0,166.0,
Las Palmas de Gran Canaria,3806.0,601.0,752.0,1641.0,113.0,
León,1657.0,291.0,210.0,1034.0,542.0,
Lleida,1929.0,188.0,412.0,1623.0,199.0,
Málaga,7301.0,1293.0,1901.0,2665.0,884.0,
Miguel Hernández de Elche,873.0,226.0,234.0,1868.0,217.0,
Murcia,6484.0,185.0,1837.0,3645.0,1169.0,
Oviedo,3232.0,669.0,878.0,1408.0,675.0,
Pablo de Olavide,3369.0,37.0,776.0,145.0,315.0,
País Vasco/Euskal Herriko Unibertsitatea,7569.0,1702.0,1909.0,3909.0,1257.0,
Politécnica de Cartagena,153.0,607.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,3590.0,0.0,205.0,11.0,
Politécnica de Madrid,201.0,6243.0,0.0,0.0,43.0,
Politècnica de València,914.0,3114.0,1527.0,0.0,536.0,
Pompeu Fabra,3722.0,273.0,995.0,395.0,0.0,
Pública de Navarra,2169.0,527.0,20.0,565.0,80.0,
Rey Juan Carlos,12513.0,1441.0,1742.0,1831.0,497.0,
Rovira i Virgili,2887.0,446.0,367.0,1768.0,395.0,
Salamanca,4440.0,305.0,2279.0,2765.0,1090.0,
Santiago de Compostela,3690.0,287.0,1321.0,4069.0,918.0,
Sevilla,8840.0,2523.0,2437.0,4600.0,1312.0,
València (Estudi General),10049.0,293.0,2083.0,5761.0,1371.0,
Valladolid,4867.0,823.0,766.0,1662.0,494.0,
Vigo,3520.0,767.0,917.0,109.0,544.0,
Zaragoza,5962.0,922.0,1075.0,2614.0,1051.0,
Universidades Públicas No Presenciales,6218.0,129.0,1635.0,4305.0,401.0,
Nacional de Educación a Distancia,6218.0,129.0,1635.0,4305.0,401.0,
Universidades Privadas,37390.0,3282.0,2387.0,32426.0,1294.0,
Universidades Privadas Presenciales,31059.0,3155.0,1837.0,30962.0,1294.0,
Abat Oliba CEU,398.0,0.0,0.0,235.0,0.0,
Alfonso X El Sabio,147.0,62.0,68.0,2565.0,0.0,
Antonio de Nebrija,1728.0,102.0,208.0,137.0,0.0,
Atlántico Medio,113.0,0.0,3.0,0.0,0.0,
Camilo José Cela,2174.0,15.0,22.0,275.0,0.0,
