
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,205.0,276.0,8.0,15.0,35.0,
Alcalá,0.0,59.0,0.0,0.0,0.0,
Alicante,324.0,100.0,56.0,15.0,38.0,
Almería,269.0,70.0,25.0,37.0,23.0,
Autónoma de Barcelona,425.0,51.0,101.0,81.0,165.0,
Autónoma de Madrid,321.0,95.0,109.0,62.0,218.0,
Barcelona,521.0,61.0,156.0,144.0,271.0,
Burgos,91.0,37.0,6.0,4.0,15.0,
Cádiz,190.0,174.0,33.0,38.0,83.0,
Cantabria,103.0,177.0,12.0,17.0,28.0,
Carlos III de Madrid,507.0,534.0,35.0,0.0,22.0,
Castilla-La Mancha,380.0,135.0,33.0,29.0,26.0,
Complutense de Madrid,860.0,79.0,243.0,123.0,300.0,
Córdoba,234.0,147.0,69.0,49.0,56.0,
Extremadura,316.0,94.0,33.0,35.0,17.0,
Girona,135.0,86.0,18.0,10.0,32.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,210.0,52.0,28.0,30.0,19.0,
Illes Balears (Les),175.0,32.0,12.0,19.0,65.0,
Jaén,31.0,65.0,0.0,6.0,0.0,
Jaume I de Castellón,134.0,64.0,46.0,35.0,30.0,
La Laguna,182.0,51.0,23.0,35.0,24.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,166.0,66.0,37.0,3.0,15.0,
León,164.0,61.0,6.0,29.0,6.0,
Lleida,100.0,77.0,6.0,39.0,0.0,
Málaga,527.0,255.0,69.0,46.0,56.0,
Miguel Hernández de Elche,288.0,113.0,4.0,277.0,9.0,
Murcia,371.0,25.0,56.0,84.0,47.0,
Oviedo,116.0,208.0,8.0,9.0,25.0,
Pablo de Olavide,296.0,13.0,68.0,23.0,59.0,
País Vasco/Euskal Herriko Unibertsitatea,323.0,535.0,50.0,63.0,100.0,
Politécnica de Cartagena,29.0,187.0,0.0,0.0,1.0,
Politécnica de Catalunya,57.0,1661.0,0.0,0.0,53.0,
Politécnica de Madrid,76.0,2152.0,1.0,8.0,34.0,
Politècnica de València,57.0,1468.0,59.0,35.0,57.0,
Pompeu Fabra,164.0,43.0,41.0,77.0,24.0,
Pública de Navarra,104.0,165.0,0.0,14.0,3.0,
Rey Juan Carlos,496.0,104.0,52.0,90.0,24.0,
Rovira i Virgili,187.0,130.0,27.0,25.0,38.0,
Salamanca,317.0,54.0,93.0,41.0,70.0,
Santiago de Compostela,231.0,75.0,42.0,34.0,77.0,
Sevilla,439.0,741.0,143.0,99.0,113.0,
València (Estudi General),613.0,72.0,105.0,152.0,146.0,
Valladolid,67.0,164.0,16.0,9.0,10.0,
Vigo,276.0,216.0,46.0,14.0,33.0,
Zaragoza,345.0,242.0,40.0,64.0,62.0,
Universidades Públicas No Presenciales,724.0,132.0,113.0,76.0,26.0,
Nacional de Educación a Distancia,724.0,132.0,113.0,76.0,26.0,
Universidades Públicas Especiales,300.0,31.0,16.0,17.0,55.0,
Internacional de Andalucía,43.0,4.0,16.0,17.0,14.0,
Internacional Menéndez Pelayo,257.0,27.0,0.0,0.0,41.0,
Universidades Privadas,14577.0,3072.0,795.0,1481.0,130.0,
Universidades Privadas Presenciales,6924.0,1914.0,294.0,1119.0,45.0,
Abat Oliba CEU,118.0,0.0,0.0,1.0,0.0,
Alfonso X El Sabio,211.0,50.0,22.0,50.0,0.0,
Antonio de Nebrija,930.0,44.0,28.0,0.0,0.0,
Atlántico Medio,336.0,0.0,0.0,0.0,0.0,
Camilo José Cela,489.0,0.0,0.0,76.0,0.0,
Cardenal Herrera-CEU,157.0,49.0,6.0,62.0,0.0,
