
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2016-2017,2016-2017,2016-2017,2016-2017,2016-2017,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Hombres,Hombres,Hombres,Hombres,Hombres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,142.0,199.0,7.0,6.0,17.0,
Alcalá,0.0,0.0,0.0,0.0,0.0,
Alicante,96.0,128.0,25.0,9.0,6.0,
Almería,52.0,52.0,6.0,20.0,10.0,
Autónoma de Barcelona,126.0,77.0,60.0,47.0,25.0,
Autónoma de Madrid,176.0,110.0,73.0,14.0,55.0,
Barcelona,316.0,40.0,213.0,54.0,91.0,
Burgos,42.0,38.0,0.0,2.0,6.0,
Cádiz,58.0,79.0,8.0,7.0,18.0,
Cantabria,32.0,135.0,8.0,0.0,4.0,
Carlos III de Madrid,230.0,475.0,16.0,0.0,2.0,
Castilla-La Mancha,113.0,137.0,15.0,3.0,4.0,
Complutense de Madrid,359.0,99.0,124.0,60.0,84.0,
Córdoba,49.0,76.0,13.0,14.0,9.0,
Extremadura,153.0,77.0,15.0,5.0,6.0,
Girona,85.0,32.0,4.0,12.0,9.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,45.0,48.0,8.0,31.0,2.0,
Illes Balears (Les),112.0,29.0,15.0,19.0,65.0,
Jaén,14.0,40.0,0.0,3.0,0.0,
Jaume I de Castellón,82.0,83.0,24.0,15.0,15.0,
La Laguna,43.0,29.0,5.0,14.0,33.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,77.0,24.0,18.0,3.0,9.0,
León,38.0,152.0,18.0,23.0,0.0,
Lleida,34.0,120.0,16.0,24.0,2.0,
Málaga,240.0,107.0,17.0,16.0,12.0,
Miguel Hernández de Elche,93.0,146.0,2.0,76.0,5.0,
Murcia,191.0,13.0,49.0,48.0,33.0,
Oviedo,14.0,84.0,0.0,0.0,0.0,
Pablo de Olavide,64.0,16.0,27.0,13.0,26.0,
País Vasco/Euskal Herriko Unibertsitatea,61.0,49.0,0.0,2.0,0.0,
Politécnica de Cartagena,22.0,98.0,0.0,0.0,0.0,
Politécnica de Catalunya,0.0,1369.0,0.0,0.0,40.0,
Politécnica de Madrid,20.0,1026.0,2.0,0.0,2.0,
Politècnica de València,50.0,975.0,57.0,24.0,43.0,
Pompeu Fabra,77.0,26.0,32.0,1.0,0.0,
Pública de Navarra,46.0,106.0,0.0,14.0,4.0,
Rey Juan Carlos,620.0,123.0,21.0,55.0,3.0,
Rovira i Virgili,79.0,155.0,16.0,11.0,4.0,
Salamanca,62.0,61.0,30.0,11.0,10.0,
Santiago de Compostela,111.0,70.0,30.0,29.0,30.0,
Sevilla,206.0,384.0,72.0,60.0,24.0,
València (Estudi General),370.0,59.0,68.0,64.0,40.0,
Valladolid,42.0,161.0,19.0,1.0,0.0,
Vigo,112.0,118.0,23.0,4.0,40.0,
Zaragoza,109.0,154.0,15.0,21.0,15.0,
Universidades Públicas No Presenciales,1412.0,671.0,673.0,180.0,118.0,
Nacional de Educación a Distancia,1412.0,671.0,673.0,180.0,118.0,
Universidades Públicas Especiales,263.0,5.0,59.0,11.0,1.0,
Internacional de Andalucía,13.0,1.0,9.0,3.0,1.0,
Internacional Menéndez Pelayo,250.0,4.0,50.0,8.0,0.0,
