
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2019-2020,2019-2020,2019-2020,2019-2020,2019-2020,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,Tiempo Completo,
A Coruña,342.0,121.0,37.0,51.0,61.0,
Alcalá,0.0,13.0,0.0,0.0,0.0,
Alicante,447.0,40.0,115.0,53.0,39.0,
Almería,437.0,28.0,43.0,147.0,30.0,
Autónoma de Barcelona,625.0,25.0,245.0,231.0,148.0,
Autónoma de Madrid,574.0,45.0,191.0,112.0,203.0,
Barcelona,904.0,58.0,269.0,406.0,283.0,
Burgos,173.0,8.0,21.0,27.0,15.0,
Cádiz,383.0,63.0,54.0,82.0,101.0,
Cantabria,131.0,68.0,11.0,45.0,9.0,
Carlos III de Madrid,688.0,204.0,96.0,0.0,9.0,
Castilla-La Mancha,472.0,30.0,60.0,79.0,28.0,
Complutense de Madrid,1348.0,46.0,454.0,379.0,307.0,
Córdoba,401.0,96.0,142.0,101.0,61.0,
Extremadura,580.0,35.0,58.0,20.0,19.0,
Girona,222.0,51.0,30.0,32.0,28.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,376.0,16.0,45.0,56.0,16.0,
Illes Balears (Les),254.0,7.0,22.0,63.0,93.0,
Jaén,22.0,20.0,0.0,21.0,0.0,
Jaume I de Castellón,245.0,21.0,138.0,78.0,31.0,
La Laguna,331.0,10.0,55.0,72.0,27.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,253.0,39.0,57.0,12.0,21.0,
León,218.0,35.0,10.0,73.0,14.0,
Lleida,99.0,21.0,18.0,70.0,0.0,
Málaga,857.0,69.0,121.0,66.0,47.0,
Miguel Hernández de Elche,358.0,45.0,15.0,511.0,19.0,
Murcia,597.0,6.0,70.0,275.0,45.0,
Oviedo,187.0,92.0,13.0,24.0,26.0,
Pablo de Olavide,422.0,4.0,138.0,50.0,75.0,
País Vasco/Euskal Herriko Unibertsitatea,480.0,263.0,95.0,161.0,120.0,
Politécnica de Cartagena,36.0,66.0,0.0,0.0,0.0,
Politécnica de Catalunya,27.0,665.0,0.0,0.0,25.0,
Politécnica de Madrid,72.0,1048.0,2.0,16.0,28.0,
Politècnica de València,73.0,663.0,145.0,38.0,63.0,
Pompeu Fabra,276.0,24.0,103.0,127.0,22.0,
Pública de Navarra,150.0,68.0,0.0,16.0,6.0,
Rey Juan Carlos,578.0,59.0,69.0,182.0,23.0,
Rovira i Virgili,284.0,43.0,38.0,115.0,50.0,
Salamanca,564.0,19.0,150.0,186.0,68.0,
Santiago de Compostela,414.0,55.0,101.0,130.0,59.0,
Sevilla,846.0,365.0,242.0,230.0,82.0,
València (Estudi General),1026.0,22.0,170.0,392.0,146.0,
Valladolid,159.0,101.0,33.0,31.0,6.0,
Vigo,463.0,89.0,91.0,21.0,48.0,
Zaragoza,515.0,121.0,48.0,128.0,69.0,
Universidades Públicas No Presenciales,1079.0,35.0,118.0,144.0,30.0,
Nacional de Educación a Distancia,1079.0,35.0,118.0,144.0,30.0,
Universidades Públicas Especiales,308.0,8.0,6.0,30.0,69.0,
Internacional de Andalucía,72.0,7.0,6.0,30.0,18.0,
Internacional Menéndez Pelayo,236.0,1.0,0.0,0.0,51.0,
Universidades Privadas,25573.0,1409.0,748.0,4093.0,82.0,
Universidades Privadas Presenciales,11030.0,954.0,363.0,2613.0,62.0,
Abat Oliba CEU,112.0,0.0,0.0,28.0,0.0,
Alfonso X El Sabio,275.0,16.0,12.0,129.0,0.0,
Antonio de Nebrija,2255.0,18.0,93.0,0.0,0.0,
Atlántico Medio,668.0,0.0,0.0,0.0,0.0,
Camilo José Cela,1603.0,0.0,0.0,177.0,0.0,
Cardenal Herrera-CEU,343.0,35.0,10.0,140.0,0.0,
