
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Ciencias Sociales y Jurídicas,Ingeniería y Arquitectura,Artes y Humanidades,Ciencias de la Salud,Ciencias,
,2017-2018,2017-2018,2017-2018,2017-2018,2017-2018,
,Centro propio,Centro propio,Centro propio,Centro propio,Centro propio,
,Mujeres,Mujeres,Mujeres,Mujeres,Mujeres,
,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,Tiempo Parcial,
A Coruña,197.0,95.0,29.0,32.0,25.0,
Alcalá,0.0,0.0,0.0,0.0,0.0,
Alicante,177.0,65.0,67.0,18.0,6.0,
Almería,125.0,36.0,8.0,96.0,12.0,
Autónoma de Barcelona,190.0,46.0,98.0,159.0,18.0,
Autónoma de Madrid,312.0,59.0,120.0,74.0,66.0,
Barcelona,591.0,28.0,457.0,216.0,93.0,
Burgos,54.0,12.0,4.0,3.0,8.0,
Cádiz,166.0,79.0,35.0,37.0,47.0,
Cantabria,75.0,69.0,15.0,10.0,1.0,
Carlos III de Madrid,315.0,131.0,30.0,0.0,0.0,
Castilla-La Mancha,175.0,53.0,35.0,8.0,6.0,
Complutense de Madrid,598.0,40.0,244.0,216.0,109.0,
Córdoba,124.0,30.0,38.0,54.0,3.0,
Extremadura,236.0,23.0,39.0,14.0,8.0,
Girona,97.0,11.0,19.0,63.0,3.0,
Granada,0.0,0.0,0.0,0.0,0.0,
Huelva,69.0,16.0,17.0,58.0,3.0,
Illes Balears (Les),204.0,12.0,30.0,47.0,69.0,
Jaén,30.0,9.0,0.0,22.0,0.0,
Jaume I de Castellón,186.0,40.0,102.0,64.0,6.0,
La Laguna,116.0,5.0,22.0,28.0,32.0,
La Rioja,0.0,0.0,0.0,0.0,0.0,
Las Palmas de Gran Canaria,147.0,15.0,35.0,3.0,10.0,
León,41.0,43.0,17.0,104.0,3.0,
Lleida,86.0,45.0,35.0,65.0,8.0,
Málaga,346.0,26.0,41.0,44.0,8.0,
Miguel Hernández de Elche,138.0,47.0,6.0,127.0,1.0,
Murcia,352.0,0.0,45.0,148.0,27.0,
Oviedo,47.0,37.0,2.0,1.0,5.0,
Pablo de Olavide,92.0,3.0,46.0,20.0,50.0,
País Vasco/Euskal Herriko Unibertsitatea,98.0,21.0,0.0,41.0,0.0,
Politécnica de Cartagena,7.0,45.0,0.0,0.0,0.0,
Politécnica de Catalunya,9.0,524.0,0.0,0.0,32.0,
Politécnica de Madrid,43.0,659.0,0.0,2.0,6.0,
Politècnica de València,61.0,554.0,98.0,34.0,46.0,
Pompeu Fabra,147.0,15.0,73.0,1.0,1.0,
Pública de Navarra,44.0,30.0,0.0,33.0,3.0,
Rey Juan Carlos,809.0,62.0,40.0,127.0,10.0,
Rovira i Virgili,123.0,40.0,16.0,74.0,2.0,
Salamanca,61.0,22.0,35.0,37.0,6.0,
Santiago de Compostela,202.0,51.0,51.0,78.0,27.0,
Sevilla,371.0,195.0,116.0,166.0,9.0,
València (Estudi General),579.0,32.0,90.0,179.0,42.0,
Valladolid,48.0,72.0,13.0,4.0,2.0,
Vigo,193.0,18.0,62.0,9.0,45.0,
Zaragoza,189.0,68.0,21.0,73.0,7.0,
Universidades Públicas No Presenciales,1981.0,173.0,686.0,288.0,108.0,
Nacional de Educación a Distancia,1981.0,173.0,686.0,288.0,108.0,
Universidades Públicas Especiales,302.0,2.0,122.0,66.0,11.0,
Internacional de Andalucía,19.0,0.0,3.0,8.0,5.0,
Internacional Menéndez Pelayo,283.0,2.0,119.0,58.0,6.0,
Universidades Privadas,13331.0,1007.0,1076.0,2628.0,66.0,
Universidades Privadas Presenciales,4152.0,358.0,438.0,776.0,49.0,
Abat Oliba CEU,70.0,0.0,0.0,23.0,0.0,
Alfonso X El Sabio,147.0,28.0,0.0,1.0,0.0,
Antonio de Nebrija,1255.0,4.0,64.0,0.0,0.0,
Atlántico Medio,0.0,0.0,0.0,0.0,0.0,
Camilo José Cela,166.0,0.0,0.0,46.0,0.0,
Cardenal Herrera-CEU,94.0,26.0,9.0,48.0,0.0,
Católica de Valencia San Vicente Mártir,103.0,8.0,17.0,64.0,1.0,
Católica San Antonio,235.0,7.0,3.0,178.0,0.0,
Católica Santa Teresa de Jesús de Ávila,21.0,32.0,8.0,4.0,2.0,
Deusto,201.0,16.0,6.0,64.0,0.0,
Europea de Canarias,0.0,1.0,0.0,0.0,0.0,
Europea de Madrid,8.0,23.0,0.0,64.0,0.0,
Europea de Valencia,13.0,0.0,0.0,0.0,0.0,
Europea del Atlántico,207.0,23.0,275.0,0.0,0.0,
Europea Miguel de Cervantes,35.0,12.0,0.0,0.0,0.0,
Fernando Pessoa-Canarias (UFP-C),0.0,0.0,0.0,0.0,0.0,
Francisco de Vitoria,126.0,0.0,0.0,52.0,0.0,
IE Universidad,12.0,0.0,0.0,0.0,0.0,
Internacional de Catalunya,46.0,0.0,0.0,17.0,0.0,
Loyola Andalucía,175.0,2.0,0.0,0.0,0.0,
Mondragón Unibertsitatea,72.0,7.0,0.0,0.0,0.0,
Navarra,56.0,34.0,1.0,33.0,0.0,
Pontificia Comillas,347.0,17.0,15.0,11.0,0.0,
Pontificia de Salamanca,5.0,1.0,0.0,29.0,0.0,
Ramón Llull,434.0,101.0,3.0,54.0,38.0,
San Jorge,1.0,0.0,0.0,8.0,0.0,
San Pablo-CEU,203.0,9.0,0.0,46.0,4.0,
Vic-Central de Catalunya,120.0,7.0,37.0,34.0,4.0,
Universidades Privadas No Presenciales,9179.0,649.0,638.0,1852.0,17.0,
A Distancia de Madrid,1139.0,11.0,0.0,129.0,0.0,
Internacional de La Rioja,1516.0,95.0,40.0,110.0,3.0,
Internacional Isabel I de Castilla,68.0,0.0,0.0,0.0,0.0,
Internacional Valenciana,376.0,0.0,15.0,90.0,14.0,
Oberta de Catalunya,6080.0,543.0,583.0,1523.0,0.0,
Notas:
Fuente: Sistema Integral de Información Universitaria
