
Resultados por universidad
Matriculados por tipo de centro, sexo, dedicación al estudio y rama de enseñanza
Unidades: Número de estudiantes

,Total,,,,,Ciencias Sociales y Jurídicas,,,,,Ingeniería y Arquitectura,,,,,Artes y Humanidades,,,,,Ciencias de la Salud,,,,,Ciencias,,,,,
,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,
Todas las universidades,
    Total,
        Ambos sexos,
            Total,171043.0,190143.0,209754.0,217840.0,237118.0,98813.0,110905.0,124150.0,126147.0,139646.0,30104.0,34738.0,38426.0,41246.0,44203.0,15171.0,16016.0,16507.0,17706.0,18215.0,19034.0,20197.0,21610.0,23386.0,25264.0,7921.0,8287.0,9061.0,9355.0,9790.0,
            Tiempo Completo,106567.0,117829.0,126902.0,125934.0,139058.0,63102.0,71276.0,78256.0,75077.0,86507.0,17559.0,19335.0,20127.0,21096.0,22022.0,8226.0,8465.0,8547.0,9282.0,9151.0,11945.0,12811.0,13703.0,14096.0,14815.0,5735.0,5942.0,6269.0,6383.0,6563.0,
            Tiempo Parcial,64476.0,72314.0,82852.0,91906.0,98060.0,35711.0,39629.0,45894.0,51070.0,53139.0,12545.0,15403.0,18299.0,20150.0,22181.0,6945.0,7551.0,7960.0,8424.0,9064.0,7089.0,7386.0,7907.0,9290.0,10449.0,2186.0,2345.0,2792.0,2972.0,3227.0,
        Hombres,
            Total,79079.0,86782.0,94725.0,99054.0,104948.0,41555.0,45801.0,50326.0,51843.0,54988.0,21640.0,24873.0,27427.0,29191.0,31047.0,5945.0,6206.0,6330.0,6813.0,6962.0,5827.0,5721.0,6020.0,6366.0,6917.0,4112.0,4181.0,4622.0,4841.0,5034.0,
            Tiempo Completo,48266.0,53101.0,56290.0,56401.0,59866.0,26098.0,29530.0,31788.0,30962.0,33653.0,12426.0,13625.0,14083.0,14679.0,15229.0,3239.0,3298.0,3270.0,3572.0,3465.0,3557.0,3711.0,4009.0,3965.0,4252.0,2946.0,2937.0,3140.0,3223.0,3267.0,
            Tiempo Parcial,30813.0,33681.0,38435.0,42653.0,45082.0,15457.0,16271.0,18538.0,20881.0,21335.0,9214.0,11248.0,13344.0,14512.0,15818.0,2706.0,2908.0,3060.0,3241.0,3497.0,2270.0,2010.0,2011.0,2401.0,2665.0,1166.0,1244.0,1482.0,1618.0,1767.0,
        Mujeres,
            Total,91964.0,103361.0,115029.0,118786.0,132170.0,57258.0,65104.0,73824.0,74304.0,84658.0,8464.0,9865.0,10999.0,12055.0,13156.0,9226.0,9810.0,10177.0,10893.0,11253.0,13207.0,14476.0,15590.0,17020.0,18347.0,3809.0,4106.0,4439.0,4514.0,4756.0,
            Tiempo Completo,58301.0,64728.0,70612.0,69533.0,79192.0,37004.0,41746.0,46468.0,44115.0,52854.0,5133.0,5710.0,6044.0,6417.0,6793.0,4987.0,5167.0,5277.0,5710.0,5686.0,8388.0,9100.0,9694.0,10131.0,10563.0,2789.0,3005.0,3129.0,3160.0,3296.0,
            Tiempo Parcial,33663.0,38633.0,44417.0,49253.0,52978.0,20254.0,23358.0,27356.0,30189.0,31804.0,3331.0,4155.0,4955.0,5638.0,6363.0,4239.0,4643.0,4900.0,5183.0,5567.0,4819.0,5376.0,5896.0,6889.0,7784.0,1020.0,1101.0,1310.0,1354.0,1460.0,
    Centro propio,
        Ambos sexos,
            Total,146522.0,161788.0,177371.0,186186.0,205383.0,83133.0,91731.0,101608.0,104557.0,117275.0,27668.0,32368.0,35921.0,38835.0,42160.0,12613.0,13337.0,13597.0,14560.0,15255.0,16794.0,17746.0,19037.0,20738.0,22641.0,6314.0,6606.0,7208.0,7496.0,8052.0,
            Tiempo Completo,89243.0,97603.0,104275.0,105483.0,118718.0,52010.0,57342.0,62038.0,61185.0,71892.0,16008.0,17929.0,18716.0,19704.0,20940.0,6647.0,6838.0,6899.0,7428.0,7626.0,10086.0,10795.0,11577.0,11977.0,12769.0,4492.0,4699.0,5045.0,5189.0,5491.0,
